symbol,start_time,end_time,interval,number_of_trades,close,high,low,open,volume,tic,toc
STX,2024-02-10-00:00:00,2024-02-10-00:14:59,15m,93,1.8192,1.8214,1.809,1.815,29861.0,1707523200000,1707524099999
STX,2024-02-10-00:15:00,2024-02-10-00:29:59,15m,90,1.799,1.819,1.7969,1.819,28683.0,1707524100000,1707524999999
STX,2024-02-10-00:30:00,2024-02-10-00:44:59,15m,31,1.7991,1.8025,1.7947,1.7991,3442.7,1707525000000,1707525899999
STX,2024-02-10-00:45:00,2024-02-10-00:59:59,15m,33,1.7909,1.7976,1.7899,1.7976,9404.5,1707525900000,1707526799999
STX,2024-02-10-01:00:00,2024-02-10-01:14:59,15m,31,1.7833,1.7943,1.7814,1.7909,5748.3,1707526800000,1707527699999
STX,2024-02-10-01:15:00,2024-02-10-01:29:59,15m,55,1.7941,1.7983,1.7839,1.7839,25812.6,1707527700000,1707528599999
STX,2024-02-10-01:30:00,2024-02-10-01:44:59,15m,39,1.7997,1.8036,1.7948,1.795,20387.3,1707528600000,1707529499999
STX,2024-02-10-01:45:00,2024-02-10-01:59:59,15m,49,1.7918,1.7964,1.7864,1.7964,19547.6,1707529500000,1707530399999
STX,2024-02-10-02:00:00,2024-02-10-02:14:59,15m,42,1.7976,1.7976,1.7923,1.7925,15485.7,1707530400000,1707531299999
STX,2024-02-10-02:15:00,2024-02-10-02:29:59,15m,28,1.7945,1.7956,1.7905,1.7937,9595.3,1707531300000,1707532199999
STX,2024-02-10-02:30:00,2024-02-10-02:44:59,15m,53,1.792,1.7944,1.7914,1.7941,18065.2,1707532200000,1707533099999
STX,2024-02-10-02:45:00,2024-02-10-02:59:59,15m,24,1.7982,1.799,1.7934,1.7934,853.9,1707533100000,1707533999999
STX,2024-02-10-03:00:00,2024-02-10-03:14:59,15m,32,1.8001,1.8004,1.7966,1.7984,1214.0,1707534000000,1707534899999
STX,2024-02-10-03:15:00,2024-02-10-03:29:59,15m,42,1.7961,1.8014,1.7952,1.8005,2207.7,1707534900000,1707535799999
STX,2024-02-10-03:30:00,2024-02-10-03:44:59,15m,45,1.7956,1.7971,1.791,1.7954,2637.6,1707535800000,1707536699999
STX,2024-02-10-03:45:00,2024-02-10-03:59:59,15m,43,1.7865,1.796,1.7864,1.7954,3935.5,1707536700000,1707537599999
STX,2024-02-10-04:00:00,2024-02-10-04:14:59,15m,43,1.7887,1.7887,1.7853,1.7876,1582.0,1707537600000,1707538499999
STX,2024-02-10-04:15:00,2024-02-10-04:29:59,15m,34,1.7848,1.79,1.7827,1.789,3396.7,1707538500000,1707539399999
STX,2024-02-10-04:30:00,2024-02-10-04:44:59,15m,97,1.7902,1.7904,1.7841,1.7876,65381.7,1707539400000,1707540299999
STX,2024-02-10-04:45:00,2024-02-10-04:59:59,15m,46,1.7879,1.7906,1.785,1.7906,29700.1,1707540300000,1707541199999
STX,2024-02-10-05:00:00,2024-02-10-05:14:59,15m,39,1.7862,1.7874,1.7819,1.7874,32382.2,1707541200000,1707542099999
STX,2024-02-10-05:15:00,2024-02-10-05:29:59,15m,19,1.7847,1.787,1.7832,1.7864,211.3,1707542100000,1707542999999
STX,2024-02-10-05:30:00,2024-02-10-05:44:59,15m,79,1.7869,1.7881,1.7828,1.7831,10963.9,1707543000000,1707543899999
STX,2024-02-10-05:45:00,2024-02-10-05:59:59,15m,30,1.783,1.7878,1.7777,1.7867,12784.6,1707543900000,1707544799999
STX,2024-02-10-06:00:00,2024-02-10-06:14:59,15m,30,1.7886,1.7886,1.7819,1.7825,5242.6,1707544800000,1707545699999
STX,2024-02-10-06:15:00,2024-02-10-06:29:59,15m,48,1.7849,1.7917,1.7849,1.7916,21736.4,1707545700000,1707546599999
STX,2024-02-10-06:30:00,2024-02-10-06:44:59,15m,30,1.7826,1.7872,1.7813,1.7849,3614.9,1707546600000,1707547499999
STX,2024-02-10-06:45:00,2024-02-10-06:59:59,15m,19,1.7877,1.7887,1.785,1.7854,209.4,1707547500000,1707548399999
STX,2024-02-10-07:00:00,2024-02-10-07:14:59,15m,22,1.7871,1.7884,1.7836,1.7884,1800.0,1707548400000,1707549299999
STX,2024-02-10-07:15:00,2024-02-10-07:29:59,15m,99,1.786,1.8006,1.7834,1.7875,19327.1,1707549300000,1707550199999
STX,2024-02-10-07:30:00,2024-02-10-07:44:59,15m,34,1.7867,1.7896,1.7859,1.7859,2643.2,1707550200000,1707551099999
STX,2024-02-10-07:45:00,2024-02-10-07:59:59,15m,29,1.7818,1.7887,1.7818,1.7868,1331.5,1707551100000,1707551999999
STX,2024-02-10-08:00:00,2024-02-10-08:14:59,15m,41,1.7921,1.7927,1.7811,1.782,16020.1,1707552000000,1707552899999
STX,2024-02-10-08:15:00,2024-02-10-08:29:59,15m,19,1.7915,1.7939,1.7913,1.792,1763.4,1707552900000,1707553799999
STX,2024-02-10-08:30:00,2024-02-10-08:44:59,15m,22,1.7896,1.7918,1.7894,1.7913,1408.1,1707553800000,1707554699999
STX,2024-02-10-08:45:00,2024-02-10-08:59:59,15m,51,1.789,1.7973,1.7858,1.791,17115.5,1707554700000,1707555599999
STX,2024-02-10-09:00:00,2024-02-10-09:14:59,15m,45,1.7932,1.8014,1.7892,1.7892,15759.8,1707555600000,1707556499999
STX,2024-02-10-09:15:00,2024-02-10-09:29:59,15m,96,1.8064,1.809,1.7914,1.792,47753.0,1707556500000,1707557399999
STX,2024-02-10-09:30:00,2024-02-10-09:44:59,15m,29,1.7985,1.8049,1.7981,1.8045,7057.7,1707557400000,1707558299999
STX,2024-02-10-09:45:00,2024-02-10-09:59:59,15m,30,1.7846,1.7965,1.7846,1.7965,1952.4,1707558300000,1707559199999
STX,2024-02-10-10:00:00,2024-02-10-10:14:59,15m,116,1.7708,1.7856,1.7608,1.7856,62994.7,1707559200000,1707560099999
STX,2024-02-10-10:15:00,2024-02-10-10:29:59,15m,31,1.7695,1.7722,1.7662,1.7722,11163.2,1707560100000,1707560999999
STX,2024-02-10-10:30:00,2024-02-10-10:44:59,15m,53,1.7576,1.7728,1.7557,1.7723,26349.5,1707561000000,1707561899999
STX,2024-02-10-10:45:00,2024-02-10-10:59:59,15m,106,1.7504,1.7551,1.7411,1.7551,71982.4,1707561900000,1707562799999
STX,2024-02-10-11:00:00,2024-02-10-11:14:59,15m,31,1.7556,1.7581,1.7489,1.7526,6084.4,1707562800000,1707563699999
STX,2024-02-10-11:15:00,2024-02-10-11:29:59,15m,30,1.7636,1.7642,1.7559,1.7562,16478.6,1707563700000,1707564599999
STX,2024-02-10-11:30:00,2024-02-10-11:44:59,15m,58,1.7628,1.7668,1.7611,1.7637,60191.9,1707564600000,1707565499999
STX,2024-02-10-11:45:00,2024-02-10-11:59:59,15m,34,1.766,1.7679,1.7612,1.7634,15303.3,1707565500000,1707566399999
STX,2024-02-10-12:00:00,2024-02-10-12:14:59,15m,30,1.7686,1.7699,1.7609,1.7626,8312.0,1707566400000,1707567299999
STX,2024-02-10-12:15:00,2024-02-10-12:29:59,15m,24,1.7635,1.7655,1.7628,1.7651,14169.3,1707567300000,1707568199999
STX,2024-02-10-12:30:00,2024-02-10-12:44:59,15m,42,1.763,1.765,1.7581,1.7627,32123.6,1707568200000,1707569099999
