symbol,start_time,end_time,interval,number_of_trades,close,high,low,open,volume,tic,toc
SUI,2024-03-12-00:00:00,2024-03-12-00:14:59,15m,93,1.5805,1.5843,1.5726,1.5755,174354.7,1710201600000,1710202499999
SUI,2024-03-12-00:15:00,2024-03-12-00:29:59,15m,61,1.5876,1.5892,1.5779,1.5816,27253.0,1710202500000,1710203399999
SUI,2024-03-12-00:30:00,2024-03-12-00:44:59,15m,57,1.5846,1.5885,1.582,1.5864,92568.2,1710203400000,1710204299999
SUI,2024-03-12-00:45:00,2024-03-12-00:59:59,15m,44,1.5766,1.5833,1.5766,1.5833,22939.2,1710204300000,1710205199999
SUI,2024-03-12-01:00:00,2024-03-12-01:14:59,15m,62,1.5808,1.5808,1.5728,1.5767,61590.7,1710205200000,1710206099999
SUI,2024-03-12-01:15:00,2024-03-12-01:29:59,15m,53,1.5887,1.5887,1.5794,1.5815,39681.8,1710206100000,1710206999999
SUI,2024-03-12-01:30:00,2024-03-12-01:44:59,15m,78,1.5877,1.5897,1.5846,1.5888,222786.0,1710207000000,1710207899999
SUI,2024-03-12-01:45:00,2024-03-12-01:59:59,15m,53,1.5939,1.5941,1.5878,1.5879,25943.2,1710207900000,1710208799999
SUI,2024-03-12-02:00:00,2024-03-12-02:14:59,15m,51,1.6007,1.6008,1.5924,1.5928,53955.2,1710208800000,1710209699999
SUI,2024-03-12-02:15:00,2024-03-12-02:29:59,15m,66,1.616,1.6164,1.5978,1.5987,129532.6,1710209700000,1710210599999
SUI,2024-03-12-02:30:00,2024-03-12-02:44:59,15m,63,1.6081,1.624,1.6081,1.6161,41255.6,1710210600000,1710211499999
SUI,2024-03-12-02:45:00,2024-03-12-02:59:59,15m,51,1.6067,1.6107,1.6021,1.6093,59509.1,1710211500000,1710212399999
SUI,2024-03-12-03:00:00,2024-03-12-03:14:59,15m,58,1.6135,1.6156,1.604,1.6054,41113.2,1710212400000,1710213299999
SUI,2024-03-12-03:15:00,2024-03-12-03:29:59,15m,90,1.6073,1.614,1.5938,1.6139,135804.9,1710213300000,1710214199999
SUI,2024-03-12-03:30:00,2024-03-12-03:44:59,15m,100,1.6189,1.6277,1.609,1.609,166834.9,1710214200000,1710215099999
SUI,2024-03-12-03:45:00,2024-03-12-03:59:59,15m,69,1.6029,1.6267,1.6022,1.617,73437.1,1710215100000,1710215999999
SUI,2024-03-12-04:00:00,2024-03-12-04:14:59,15m,126,1.5999,1.6089,1.5845,1.6056,138589.2,1710216000000,1710216899999
