symbol,start_time,end_time,interval,number_of_trades,close,high,low,open,volume,tic,toc
SUSHI,2024-02-08-08:30:00,2024-02-08-08:44:59,15m,18,1.0994,1.0995,1.0973,1.0973,371.7,1707381000000,1707381899999
SUSHI,2024-02-08-08:45:00,2024-02-08-08:59:59,15m,24,1.1014,1.1017,1.0997,1.0997,480.3,1707381900000,1707382799999
SUSHI,2024-02-08-09:00:00,2024-02-08-09:14:59,15m,20,1.1016,1.1017,1.1011,1.1016,380.9,1707382800000,1707383699999
SUSHI,2024-02-08-09:15:00,2024-02-08-09:29:59,15m,24,1.0995,1.1009,1.0995,1.1006,435.2,1707383700000,1707384599999
SUSHI,2024-02-08-09:30:00,2024-02-08-09:44:59,15m,20,1.1019,1.1035,1.0995,1.0998,384.0,1707384600000,1707385499999
SUSHI,2024-02-08-09:45:00,2024-02-08-09:59:59,15m,20,1.1007,1.1017,1.1007,1.1016,345.4,1707385500000,1707386399999
SUSHI,2024-02-08-10:00:00,2024-02-08-10:14:59,15m,21,1.1012,1.1012,1.1001,1.1009,429.8,1707386400000,1707387299999
SUSHI,2024-02-08-10:15:00,2024-02-08-10:29:59,15m,24,1.0984,1.1012,1.0967,1.1012,526.0,1707387300000,1707388199999
SUSHI,2024-02-08-10:30:00,2024-02-08-10:44:59,15m,24,1.1008,1.101,1.0978,1.0996,462.0,1707388200000,1707389099999
SUSHI,2024-02-08-10:45:00,2024-02-08-10:59:59,15m,26,1.1015,1.1031,1.1004,1.1004,464.5,1707389100000,1707389999999
SUSHI,2024-02-08-11:00:00,2024-02-08-11:14:59,15m,16,1.0999,1.1016,1.0982,1.1014,277.6,1707390000000,1707390899999
SUSHI,2024-02-08-11:15:00,2024-02-08-11:29:59,15m,21,1.1006,1.1007,1.0984,1.1007,345.2,1707390900000,1707391799999
SUSHI,2024-02-08-11:30:00,2024-02-08-11:44:59,15m,25,1.0995,1.1005,1.0965,1.1004,544.7,1707391800000,1707392699999
SUSHI,2024-02-08-11:45:00,2024-02-08-11:59:59,15m,20,1.0966,1.0979,1.0954,1.0979,366.9,1707392700000,1707393599999
SUSHI,2024-02-08-12:00:00,2024-02-08-12:14:59,15m,21,1.1005,1.1005,1.0975,1.0976,3826.3,1707393600000,1707394499999
SUSHI,2024-02-08-12:15:00,2024-02-08-12:29:59,15m,22,1.0997,1.1017,1.0997,1.1007,425.8,1707394500000,1707395399999
