symbol,start_time,end_time,interval,number_of_trades,close,high,low,open,volume,tic,toc
TAO,2024-02-19-13:30:00,2024-02-19-13:44:59,15m,25,644.64,645.44,641.89,645.44,128.218,1708349400000,1708350299999
TAO,2024-02-19-13:45:00,2024-02-19-13:59:59,15m,81,642.24,645.45,637.48,644.78,515.639,1708350300000,1708351199999
TAO,2024-02-19-14:00:00,2024-02-19-14:14:59,15m,27,644.52,645.37,641.49,643.32,16.664,1708351200000,1708352099999
TAO,2024-02-19-14:15:00,2024-02-19-14:29:59,15m,28,641.7,644.61,640.61,644.61,11.561,1708352100000,1708352999999
TAO,2024-02-19-14:30:00,2024-02-19-14:44:59,15m,31,644.92,644.92,642.58,642.68,15.534,1708353000000,1708353899999
TAO,2024-02-19-14:45:00,2024-02-19-14:59:59,15m,43,645.13,647.47,644.94,644.94,25.455,1708353900000,1708354799999
TAO,2024-02-19-15:00:00,2024-02-19-15:14:59,15m,42,646.09,646.37,644.25,645.7,58.312,1708354800000,1708355699999
TAO,2024-02-19-15:15:00,2024-02-19-15:29:59,15m,37,647.47,648.59,646.09,646.09,7.026,1708355700000,1708356599999
TAO,2024-02-19-15:30:00,2024-02-19-15:44:59,15m,34,641.0,648.94,641.0,647.51,8.793,1708356600000,1708357499999
TAO,2024-02-19-15:45:00,2024-02-19-15:59:59,15m,40,641.14,641.29,635.68,635.68,75.751,1708357500000,1708358399999
TAO,2024-02-19-16:00:00,2024-02-19-16:14:59,15m,39,638.12,642.22,633.95,641.01,4.365,1708358400000,1708359299999
TAO,2024-02-19-16:15:00,2024-02-19-16:29:59,15m,38,640.23,640.95,636.07,636.81,5.305,1708359300000,1708360199999
TAO,2024-02-19-16:30:00,2024-02-19-16:44:59,15m,124,617.16,638.08,597.87,637.94,68.748,1708360200000,1708361099999
TAO,2024-02-19-16:45:00,2024-02-19-16:59:59,15m,230,616.6,619.06,609.81,614.04,156.032,1708361100000,1708361999999
TAO,2024-02-19-17:00:00,2024-02-19-17:14:59,15m,53,618.85,626.1,613.77,616.88,93.45,1708362000000,1708362899999
TAO,2024-02-19-17:15:00,2024-02-19-17:29:59,15m,31,620.63,626.1,618.94,618.94,2.472,1708362900000,1708363799999
TAO,2024-02-19-17:30:00,2024-02-19-17:44:59,15m,38,625.87,627.59,620.76,620.76,9.904,1708363800000,1708364699999
TAO,2024-02-19-17:45:00,2024-02-19-17:59:59,15m,36,631.71,631.71,625.9,625.93,3.615,1708364700000,1708365599999
TAO,2024-02-19-18:00:00,2024-02-19-18:14:59,15m,162,629.95,633.29,628.72,632.38,105.56,1708365600000,1708366499999
TAO,2024-02-19-18:15:00,2024-02-19-18:29:59,15m,75,632.73,632.73,630.15,630.15,29.675,1708366500000,1708367399999
TAO,2024-02-19-18:30:00,2024-02-19-18:44:59,15m,8,635.59,635.59,635.44,635.44,3.059,1708367400000,1708368299999
TAO,2024-02-19-18:45:00,2024-02-19-18:59:59,15m,4,637.32,643.0,637.16,639.68,4.892,1708368300000,1708369199999
TAO,2024-02-19-19:00:00,2024-02-19-19:14:59,15m,27,629.19,637.79,629.19,637.16,18.254,1708369200000,1708370099999
TAO,2024-02-19-19:15:00,2024-02-19-19:29:59,15m,98,633.68,633.68,629.11,630.17,51.613,1708370100000,1708370999999
TAO,2024-02-19-19:30:00,2024-02-19-19:44:59,15m,48,631.47,633.51,627.89,632.78,36.674,1708371000000,1708371899999
TAO,2024-02-19-19:45:00,2024-02-19-19:59:59,15m,10,631.77,632.64,630.98,630.98,33.977,1708371900000,1708372799999
TAO,2024-02-19-20:00:00,2024-02-19-20:14:59,15m,13,633.64,633.64,632.4,632.88,3.263,1708372800000,1708373699999
TAO,2024-02-19-20:15:00,2024-02-19-20:29:59,15m,31,634.21,635.95,633.1,633.76,13.818,1708373700000,1708374599999
TAO,2024-02-19-20:30:00,2024-02-19-20:44:59,15m,30,635.5,635.5,633.98,634.18,12.059,1708374600000,1708375499999
TAO,2024-02-19-20:45:00,2024-02-19-20:59:59,15m,39,630.79,635.51,630.79,635.51,13.945,1708375500000,1708376399999
TAO,2024-02-19-21:00:00,2024-02-19-21:14:59,15m,39,628.51,630.81,626.06,630.81,124.838,1708376400000,1708377299999
TAO,2024-02-19-21:15:00,2024-02-19-21:29:59,15m,16,629.71,630.18,627.4,628.0,0.569,1708377300000,1708378199999
TAO,2024-02-19-21:30:00,2024-02-19-21:44:59,15m,14,628.56,629.41,628.29,628.29,4.657,1708378200000,1708379099999
TAO,2024-02-19-21:45:00,2024-02-19-21:59:59,15m,2,637.96,637.96,629.09,629.09,2.389,1708379100000,1708379999999
TAO,2024-02-19-22:00:00,2024-02-19-22:14:59,15m,12,631.57,632.06,630.83,631.75,2.67,1708380000000,1708380899999
TAO,2024-02-19-22:15:00,2024-02-19-22:29:59,15m,0,631.57,631.57,631.57,631.57,0.0,1708380900000,1708381799999
TAO,2024-02-19-22:30:00,2024-02-19-22:44:59,15m,24,637.59,638.74,636.55,638.01,15.469,1708381800000,1708382699999
TAO,2024-02-19-22:45:00,2024-02-19-22:59:59,15m,47,645.6,647.5,638.53,645.47,96.386,1708382700000,1708383599999
TAO,2024-02-19-23:00:00,2024-02-19-23:14:59,15m,82,644.73,648.39,641.13,646.19,164.239,1708383600000,1708384499999
TAO,2024-02-19-23:15:00,2024-02-19-23:29:59,15m,54,644.42,644.49,639.97,644.49,84.655,1708384500000,1708385399999
TAO,2024-02-19-23:30:00,2024-02-19-23:44:59,15m,28,636.93,644.71,636.06,644.71,44.512,1708385400000,1708386299999
TAO,2024-02-19-23:45:00,2024-02-19-23:59:59,15m,14,641.11,641.74,635.92,637.1,8.68,1708386300000,1708387199999
TAO,2024-02-20-00:00:00,2024-02-20-00:14:59,15m,16,642.8,643.84,641.62,643.84,6.959,1708387200000,1708388099999
TAO,2024-02-20-00:15:00,2024-02-20-00:29:59,15m,24,642.61,642.9,640.98,640.98,62.711,1708388100000,1708388999999
TAO,2024-02-20-00:30:00,2024-02-20-00:44:59,15m,47,641.15,645.03,640.87,642.61,31.99,1708389000000,1708389899999
TAO,2024-02-20-00:45:00,2024-02-20-00:59:59,15m,26,642.81,643.09,639.12,640.33,16.092,1708389900000,1708390799999
TAO,2024-02-20-01:00:00,2024-02-20-01:14:59,15m,21,627.12,643.39,626.12,643.39,5.265,1708390800000,1708391699999
TAO,2024-02-20-01:15:00,2024-02-20-01:29:59,15m,72,625.73,625.73,621.05,625.62,70.213,1708391700000,1708392599999
