symbol,start_time,end_time,interval,number_of_trades,close,high,low,open,volume,tic,toc
TIA,2024-03-12-00:00:00,2024-03-12-00:14:59,15m,117,16.822,16.822,16.556,16.558,18674.8,1710201600000,1710202499999
TIA,2024-03-12-00:15:00,2024-03-12-00:29:59,15m,82,16.994,16.994,16.833,16.833,16130.1,1710202500000,1710203399999
TIA,2024-03-12-00:30:00,2024-03-12-00:44:59,15m,90,17.139,17.187,16.92,16.968,12083.5,1710203400000,1710204299999
TIA,2024-03-12-00:45:00,2024-03-12-00:59:59,15m,212,17.41,17.488,17.088,17.146,17617.9,1710204300000,1710205199999
TIA,2024-03-12-01:00:00,2024-03-12-01:14:59,15m,300,17.345,17.504,17.191,17.438,102144.5,1710205200000,1710206099999
TIA,2024-03-12-01:15:00,2024-03-12-01:29:59,15m,241,17.504,17.549,17.284,17.295,87259.4,1710206100000,1710206999999
TIA,2024-03-12-01:30:00,2024-03-12-01:44:59,15m,181,17.633,17.683,17.439,17.524,40297.1,1710207000000,1710207899999
TIA,2024-03-12-01:45:00,2024-03-12-01:59:59,15m,178,17.731,17.794,17.582,17.642,28117.6,1710207900000,1710208799999
TIA,2024-03-12-02:00:00,2024-03-12-02:14:59,15m,170,17.823,17.833,17.619,17.73,17688.3,1710208800000,1710209699999
TIA,2024-03-12-02:15:00,2024-03-12-02:29:59,15m,209,17.83,17.83,17.572,17.8,30760.1,1710209700000,1710210599999
TIA,2024-03-12-02:30:00,2024-03-12-02:44:59,15m,191,17.941,18.021,17.746,17.821,29739.2,1710210600000,1710211499999
TIA,2024-03-12-02:45:00,2024-03-12-02:59:59,15m,256,18.12,18.2,17.937,17.966,33236.3,1710211500000,1710212399999
TIA,2024-03-12-03:00:00,2024-03-12-03:14:59,15m,388,18.35,18.392,18.001,18.122,53032.2,1710212400000,1710213299999
TIA,2024-03-12-03:15:00,2024-03-12-03:29:59,15m,351,18.331,18.533,17.923,18.309,41442.4,1710213300000,1710214199999
TIA,2024-03-12-03:30:00,2024-03-12-03:44:59,15m,208,18.281,18.394,18.164,18.318,13838.9,1710214200000,1710215099999
TIA,2024-03-12-03:45:00,2024-03-12-03:59:59,15m,306,17.99,18.352,17.916,18.292,37848.2,1710215100000,1710215999999
TIA,2024-03-12-04:00:00,2024-03-12-04:14:59,15m,386,17.707,18.058,17.7,17.991,41970.7,1710216000000,1710216899999
TIA,2024-03-12-04:15:00,2024-03-12-04:29:59,15m,283,17.663,17.883,17.632,17.721,25621.4,1710216900000,1710217799999
TIA,2024-03-12-04:30:00,2024-03-12-04:44:59,15m,286,17.423,17.685,17.378,17.658,24253.5,1710217800000,1710218699999
TIA,2024-03-12-04:45:00,2024-03-12-04:59:59,15m,166,17.436,17.502,17.294,17.393,31074.1,1710218700000,1710219599999
TIA,2024-03-12-05:00:00,2024-03-12-05:14:59,15m,84,17.516,17.621,17.432,17.432,6588.5,1710219600000,1710220499999
TIA,2024-03-12-05:15:00,2024-03-12-05:29:59,15m,69,17.545,17.604,17.529,17.547,7541.6,1710220500000,1710221399999
TIA,2024-03-12-05:30:00,2024-03-12-05:44:59,15m,115,17.561,17.603,17.444,17.553,13181.6,1710221400000,1710222299999
TIA,2024-03-12-05:45:00,2024-03-12-05:59:59,15m,83,17.559,17.626,17.543,17.549,17462.8,1710222300000,1710223199999
TIA,2024-03-12-06:00:00,2024-03-12-06:14:59,15m,188,17.165,17.559,17.14,17.553,13735.6,1710223200000,1710224099999
TIA,2024-03-12-06:15:00,2024-03-12-06:29:59,15m,253,16.908,17.163,16.908,17.163,36755.2,1710224100000,1710224999999
TIA,2024-03-12-06:30:00,2024-03-12-06:44:59,15m,191,17.051,17.114,16.85,16.865,16048.3,1710225000000,1710225899999
TIA,2024-03-12-06:45:00,2024-03-12-06:59:59,15m,129,17.134,17.225,17.015,17.075,16302.0,1710225900000,1710226799999
TIA,2024-03-12-07:00:00,2024-03-12-07:14:59,15m,84,17.209,17.216,17.047,17.135,17683.3,1710226800000,1710227699999
TIA,2024-03-12-07:15:00,2024-03-12-07:29:59,15m,91,17.092,17.243,17.085,17.225,13438.0,1710227700000,1710228599999
TIA,2024-03-12-07:30:00,2024-03-12-07:44:59,15m,77,17.022,17.089,16.951,17.069,10603.7,1710228600000,1710229499999
