symbol,start_time,end_time,interval,number_of_trades,close,high,low,open,volume,tic,toc
TNSR,2024-04-08-21:30:00,2024-04-08-21:44:59,15m,3,1.6819,1.6819,1.6803,1.6803,2445.5,1712611800000,1712612699999
TNSR,2024-04-08-21:45:00,2024-04-08-21:59:59,15m,22,1.6639,1.6845,1.6591,1.6808,7219.5,1712612700000,1712613599999
TNSR,2024-04-08-22:00:00,2024-04-08-22:14:59,15m,46,1.6422,1.6475,1.63,1.6386,17863.8,1712613600000,1712614499999
TNSR,2024-04-08-22:15:00,2024-04-08-22:29:59,15m,91,1.6032,1.6397,1.594,1.6397,62183.7,1712614500000,1712615399999
TNSR,2024-04-08-22:30:00,2024-04-08-22:44:59,15m,31,1.6041,1.6149,1.592,1.6031,7931.9,1712615400000,1712616299999
TNSR,2024-04-08-22:45:00,2024-04-08-22:59:59,15m,55,1.604,1.6337,1.573,1.5887,22272.6,1712616300000,1712617199999
TNSR,2024-04-08-23:00:00,2024-04-08-23:14:59,15m,104,1.65,1.6695,1.604,1.604,183384.7,1712617200000,1712618099999
TNSR,2024-04-08-23:15:00,2024-04-08-23:29:59,15m,76,1.6442,1.6527,1.6317,1.6453,127474.6,1712618100000,1712618999999
TNSR,2024-04-08-23:30:00,2024-04-08-23:44:59,15m,84,1.6689,1.6737,1.6442,1.645,38044.9,1712619000000,1712619899999
TNSR,2024-04-08-23:45:00,2024-04-08-23:59:59,15m,189,1.658,1.7068,1.647,1.672,207638.8,1712619900000,1712620799999
TNSR,2024-04-09-00:00:00,2024-04-09-00:14:59,15m,74,1.6937,1.7036,1.666,1.666,142815.4,1712620800000,1712621699999
TNSR,2024-04-09-00:15:00,2024-04-09-00:29:59,15m,60,1.6473,1.7001,1.6473,1.6915,46663.3,1712621700000,1712622599999
TNSR,2024-04-09-00:30:00,2024-04-09-00:44:59,15m,78,1.6674,1.684,1.6533,1.6533,57649.9,1712622600000,1712623499999
TNSR,2024-04-09-00:45:00,2024-04-09-00:59:59,15m,44,1.679,1.6817,1.6683,1.6722,9632.1,1712623500000,1712624399999
TNSR,2024-04-09-01:00:00,2024-04-09-01:14:59,15m,61,1.718,1.7231,1.689,1.689,51146.1,1712624400000,1712625299999
TNSR,2024-04-09-01:15:00,2024-04-09-01:29:59,15m,69,1.7163,1.7242,1.6758,1.71,56474.3,1712625300000,1712626199999
TNSR,2024-04-09-01:30:00,2024-04-09-01:44:59,15m,124,1.7454,1.7823,1.6978,1.714,80730.0,1712626200000,1712627099999
TNSR,2024-04-09-01:45:00,2024-04-09-01:59:59,15m,115,1.7152,1.7601,1.7084,1.7423,95330.7,1712627100000,1712627999999
TNSR,2024-04-09-02:00:00,2024-04-09-02:14:59,15m,38,1.7174,1.72,1.6856,1.72,10058.4,1712628000000,1712628899999
TNSR,2024-04-09-02:15:00,2024-04-09-02:29:59,15m,36,1.6975,1.7165,1.6777,1.7165,14300.6,1712628900000,1712629799999
TNSR,2024-04-09-02:30:00,2024-04-09-02:44:59,15m,37,1.6936,1.712,1.688,1.7037,15932.1,1712629800000,1712630699999
TNSR,2024-04-09-02:45:00,2024-04-09-02:59:59,15m,30,1.6925,1.7115,1.6836,1.6926,10287.2,1712630700000,1712631599999
TNSR,2024-04-09-03:00:00,2024-04-09-03:14:59,15m,31,1.6995,1.7026,1.685,1.6975,10312.3,1712631600000,1712632499999
TNSR,2024-04-09-03:15:00,2024-04-09-03:29:59,15m,76,1.6982,1.7121,1.6943,1.7,63730.2,1712632500000,1712633399999
