symbol,start_time,end_time,interval,number_of_trades,close,high,low,open,volume,tic,toc
TON,2024-03-12-00:00:00,2024-03-12-00:14:59,15m,49,3.3034,3.3034,3.2788,3.2856,25148.0,1710201600000,1710202499999
TON,2024-03-12-00:15:00,2024-03-12-00:29:59,15m,40,3.2849,3.3071,3.2759,3.2989,6135.0,1710202500000,1710203399999
TON,2024-03-12-00:30:00,2024-03-12-00:44:59,15m,8,3.3769,3.3769,3.2949,3.2949,144.9,1710203400000,1710204299999
TON,2024-03-12-00:45:00,2024-03-12-00:59:59,15m,46,3.3505,3.38,3.3382,3.3662,10604.1,1710204300000,1710205199999
TON,2024-03-12-01:00:00,2024-03-12-01:14:59,15m,54,3.3527,3.3628,3.3251,3.3524,1813.2,1710205200000,1710206099999
TON,2024-03-12-01:15:00,2024-03-12-01:29:59,15m,129,3.3808,3.3808,3.3419,3.3539,5058.8,1710206100000,1710206999999
TON,2024-03-12-01:30:00,2024-03-12-01:44:59,15m,22,3.4329,3.4329,3.3659,3.3867,794.7,1710207000000,1710207899999
TON,2024-03-12-01:45:00,2024-03-12-01:59:59,15m,24,3.4657,3.4676,3.3887,3.3973,483.3,1710207900000,1710208799999
TON,2024-03-12-02:00:00,2024-03-12-02:14:59,15m,143,3.4141,3.4542,3.4141,3.4464,2658.1,1710208800000,1710209699999
TON,2024-03-12-02:15:00,2024-03-12-02:29:59,15m,189,3.3697,3.4233,3.3696,3.4138,4397.7,1710209700000,1710210599999
TON,2024-03-12-02:30:00,2024-03-12-02:44:59,15m,138,3.4168,3.4168,3.3766,3.3811,2748.9,1710210600000,1710211499999
TON,2024-03-12-02:45:00,2024-03-12-02:59:59,15m,86,3.4984,3.5172,3.4068,3.4115,5824.7,1710211500000,1710212399999
TON,2024-03-12-03:00:00,2024-03-12-03:14:59,15m,368,3.5278,3.5803,3.4991,3.4991,12622.9,1710212400000,1710213299999
TON,2024-03-12-03:15:00,2024-03-12-03:29:59,15m,425,3.5963,3.6161,3.5071,3.5279,9732.0,1710213300000,1710214199999
TON,2024-03-12-03:30:00,2024-03-12-03:44:59,15m,243,3.5766,3.6209,3.5691,3.5905,3002.3,1710214200000,1710215099999
TON,2024-03-12-03:45:00,2024-03-12-03:59:59,15m,491,3.5104,3.5941,3.5003,3.5941,15573.5,1710215100000,1710215999999
TON,2024-03-12-04:00:00,2024-03-12-04:14:59,15m,369,3.5547,3.5547,3.4578,3.5118,72183.2,1710216000000,1710216899999
TON,2024-03-12-04:15:00,2024-03-12-04:29:59,15m,248,3.5375,3.562,3.4843,3.5547,24172.2,1710216900000,1710217799999
TON,2024-03-12-04:30:00,2024-03-12-04:44:59,15m,211,3.6667,3.7015,3.5135,3.5135,11299.1,1710217800000,1710218699999
TON,2024-03-12-04:45:00,2024-03-12-04:59:59,15m,460,3.7092,3.7182,3.6608,3.6641,18190.6,1710218700000,1710219599999
TON,2024-03-12-05:00:00,2024-03-12-05:14:59,15m,349,3.7511,3.7664,3.6877,3.7059,15440.7,1710219600000,1710220499999
TON,2024-03-12-05:15:00,2024-03-12-05:29:59,15m,397,3.6989,3.7982,3.6982,3.7472,15225.9,1710220500000,1710221399999
TON,2024-03-12-05:30:00,2024-03-12-05:44:59,15m,195,3.7206,3.7374,3.6886,3.6992,5794.4,1710221400000,1710222299999
TON,2024-03-12-05:45:00,2024-03-12-05:59:59,15m,175,3.7899,3.8035,3.7082,3.7268,6573.4,1710222300000,1710223199999
TON,2024-03-12-06:00:00,2024-03-12-06:14:59,15m,296,3.7764,3.8108,3.7301,3.7951,22075.1,1710223200000,1710224099999
TON,2024-03-12-06:15:00,2024-03-12-06:29:59,15m,169,3.7226,3.7963,3.7155,3.7783,15702.4,1710224100000,1710224999999
TON,2024-03-12-06:30:00,2024-03-12-06:44:59,15m,67,3.7237,3.7742,3.7111,3.7181,6644.9,1710225000000,1710225899999
TON,2024-03-12-06:45:00,2024-03-12-06:59:59,15m,21,3.7641,3.7766,3.7225,3.7279,3259.9,1710225900000,1710226799999
TON,2024-03-12-07:00:00,2024-03-12-07:14:59,15m,205,3.8882,3.9429,3.7595,3.7753,60502.0,1710226800000,1710227699999
TON,2024-03-12-07:15:00,2024-03-12-07:29:59,15m,180,3.7268,3.8892,3.7175,3.8882,25577.3,1710227700000,1710228599999
TON,2024-03-12-07:30:00,2024-03-12-07:44:59,15m,147,3.6066,3.7256,3.6066,3.7256,20864.6,1710228600000,1710229499999
TON,2024-03-12-07:45:00,2024-03-12-07:59:59,15m,77,3.68,3.691,3.6115,3.6189,31892.6,1710229500000,1710230399999
TON,2024-03-12-08:00:00,2024-03-12-08:14:59,15m,82,3.5669,3.675,3.5668,3.6568,35593.9,1710230400000,1710231299999
TON,2024-03-12-08:15:00,2024-03-12-08:29:59,15m,96,3.534,3.6279,3.534,3.5803,27913.4,1710231300000,1710232199999
TON,2024-03-12-08:30:00,2024-03-12-08:44:59,15m,43,3.5835,3.6068,3.5437,3.5437,4542.3,1710232200000,1710233099999
TON,2024-03-12-08:45:00,2024-03-12-08:59:59,15m,49,3.5574,3.5839,3.5095,3.5839,7909.6,1710233100000,1710233999999
TON,2024-03-12-09:00:00,2024-03-12-09:14:59,15m,67,3.5566,3.5913,3.5454,3.5598,12589.5,1710234000000,1710234899999
TON,2024-03-12-09:15:00,2024-03-12-09:29:59,15m,127,3.6304,3.6304,3.5217,3.5624,11767.8,1710234900000,1710235799999
TON,2024-03-12-09:30:00,2024-03-12-09:44:59,15m,27,3.6155,3.6405,3.6031,3.6266,5246.8,1710235800000,1710236699999
TON,2024-03-12-09:45:00,2024-03-12-09:59:59,15m,76,3.555,3.6321,3.5484,3.6252,4198.6,1710236700000,1710237599999
TON,2024-03-12-10:00:00,2024-03-12-10:14:59,15m,99,3.602,3.602,3.5277,3.5519,22709.2,1710237600000,1710238499999
TON,2024-03-12-10:15:00,2024-03-12-10:29:59,15m,84,3.5966,3.6086,3.5692,3.5864,16930.7,1710238500000,1710239399999
TON,2024-03-12-10:30:00,2024-03-12-10:44:59,15m,128,3.6123,3.6123,3.5754,3.5973,6153.4,1710239400000,1710240299999
TON,2024-03-12-10:45:00,2024-03-12-10:59:59,15m,97,3.5733,3.6169,3.5651,3.6169,14976.1,1710240300000,1710241199999
TON,2024-03-12-11:00:00,2024-03-12-11:14:59,15m,68,3.5664,3.5777,3.5655,3.5738,11111.3,1710241200000,1710242099999
TON,2024-03-12-11:15:00,2024-03-12-11:29:59,15m,132,3.5859,3.6083,3.5392,3.5578,25632.7,1710242100000,1710242999999
TON,2024-03-12-11:30:00,2024-03-12-11:44:59,15m,77,3.6046,3.6134,3.5762,3.5879,6994.0,1710243000000,1710243899999
TON,2024-03-12-11:45:00,2024-03-12-11:59:59,15m,37,3.5919,3.6146,3.5612,3.6061,8008.4,1710243900000,1710244799999
TON,2024-03-12-12:00:00,2024-03-12-12:14:59,15m,24,3.5543,3.5968,3.5543,3.5896,7967.6,1710244800000,1710245699999
TON,2024-03-12-12:15:00,2024-03-12-12:29:59,15m,25,3.5441,3.5872,3.5233,3.552,2959.1,1710245700000,1710246599999
TON,2024-03-12-12:30:00,2024-03-12-12:44:59,15m,67,3.6251,3.6251,3.5567,3.5567,34981.2,1710246600000,1710247499999
TON,2024-03-12-12:45:00,2024-03-12-12:59:59,15m,27,3.618,3.6296,3.6074,3.6294,3774.4,1710247500000,1710248399999
TON,2024-03-12-13:00:00,2024-03-12-13:14:59,15m,48,3.6522,3.6624,3.6233,3.6407,11147.2,1710248400000,1710249299999
TON,2024-03-12-13:15:00,2024-03-12-13:29:59,15m,51,3.7457,3.7457,3.6458,3.6458,16289.3,1710249300000,1710250199999
TON,2024-03-12-13:30:00,2024-03-12-13:44:59,15m,83,3.6854,3.7435,3.6658,3.7435,36428.0,1710250200000,1710251099999
TON,2024-03-12-13:45:00,2024-03-12-13:59:59,15m,53,3.7646,3.7686,3.6789,3.698,12164.9,1710251100000,1710251999999
TON,2024-03-12-14:00:00,2024-03-12-14:14:59,15m,90,3.691,3.7966,3.68,3.7661,17917.0,1710252000000,1710252899999
TON,2024-03-12-14:15:00,2024-03-12-14:29:59,15m,45,3.6988,3.7292,3.688,3.7058,6573.7,1710252900000,1710253799999
TON,2024-03-12-14:30:00,2024-03-12-14:44:59,15m,35,3.7144,3.7159,3.6863,3.7105,8616.3,1710253800000,1710254699999
TON,2024-03-12-14:45:00,2024-03-12-14:59:59,15m,52,3.6008,3.7311,3.5918,3.7152,20494.3,1710254700000,1710255599999
TON,2024-03-12-15:00:00,2024-03-12-15:14:59,15m,72,3.6584,3.6616,3.6015,3.6051,16486.3,1710255600000,1710256499999
TON,2024-03-12-15:15:00,2024-03-12-15:29:59,15m,33,3.6113,3.6593,3.5961,3.6593,4780.5,1710256500000,1710257399999
TON,2024-03-12-15:30:00,2024-03-12-15:44:59,15m,31,3.6357,3.647,3.603,3.6184,3965.5,1710257400000,1710258299999
TON,2024-03-12-15:45:00,2024-03-12-15:59:59,15m,36,3.6575,3.6575,3.6128,3.6272,3938.0,1710258300000,1710259199999
TON,2024-03-12-16:00:00,2024-03-12-16:14:59,15m,53,3.6759,3.69,3.6516,3.6532,10546.5,1710259200000,1710260099999
TON,2024-03-12-16:15:00,2024-03-12-16:29:59,15m,52,3.5991,3.6756,3.5679,3.6688,12121.3,1710260100000,1710260999999
TON,2024-03-12-16:30:00,2024-03-12-16:44:59,15m,29,3.6464,3.6464,3.6017,3.6017,6265.5,1710261000000,1710261899999
TON,2024-03-12-16:45:00,2024-03-12-16:59:59,15m,24,3.595,3.6514,3.595,3.6514,3058.8,1710261900000,1710262799999
TON,2024-03-12-17:00:00,2024-03-12-17:14:59,15m,57,3.5465,3.5918,3.5381,3.5918,12630.5,1710262800000,1710263699999
TON,2024-03-12-17:15:00,2024-03-12-17:29:59,15m,105,3.5478,3.5943,3.4666,3.5525,32456.7,1710263700000,1710264599999
TON,2024-03-12-17:30:00,2024-03-12-17:44:59,15m,76,3.6269,3.6517,3.5595,3.5595,16563.7,1710264600000,1710265499999
TON,2024-03-12-17:45:00,2024-03-12-17:59:59,15m,37,3.6563,3.6575,3.6369,3.6418,2963.0,1710265500000,1710266399999
TON,2024-03-12-18:00:00,2024-03-12-18:14:59,15m,42,3.6868,3.6901,3.6511,3.6793,7692.3,1710266400000,1710267299999
TON,2024-03-12-18:15:00,2024-03-12-18:29:59,15m,45,3.7111,3.7478,3.6641,3.6809,10535.5,1710267300000,1710268199999
TON,2024-03-12-18:30:00,2024-03-12-18:44:59,15m,46,3.7632,3.7822,3.7183,3.7231,10451.8,1710268200000,1710269099999
TON,2024-03-12-18:45:00,2024-03-12-18:59:59,15m,58,3.763,3.7764,3.7474,3.7544,13875.8,1710269100000,1710269999999
TON,2024-03-12-19:00:00,2024-03-12-19:14:59,15m,29,3.7862,3.7862,3.7638,3.7638,4912.9,1710270000000,1710270899999
TON,2024-03-12-19:15:00,2024-03-12-19:29:59,15m,23,3.742,3.7854,3.721,3.7854,2184.6,1710270900000,1710271799999
TON,2024-03-12-19:30:00,2024-03-12-19:44:59,15m,31,3.7683,3.7683,3.735,3.7351,12798.7,1710271800000,1710272699999
TON,2024-03-12-19:45:00,2024-03-12-19:59:59,15m,22,3.7885,3.7927,3.7692,3.7692,7807.6,1710272700000,1710273599999
TON,2024-03-12-20:00:00,2024-03-12-20:14:59,15m,87,3.7763,3.8109,3.7745,3.7856,17279.9,1710273600000,1710274499999
TON,2024-03-12-20:15:00,2024-03-12-20:29:59,15m,107,3.7969,3.835,3.7731,3.7763,17727.9,1710274500000,1710275399999
TON,2024-03-12-20:30:00,2024-03-12-20:44:59,15m,126,3.7891,3.8124,3.7463,3.801,10737.0,1710275400000,1710276299999
TON,2024-03-12-20:45:00,2024-03-12-20:59:59,15m,53,3.7681,3.7848,3.7617,3.7848,2848.0,1710276300000,1710277199999
TON,2024-03-12-21:00:00,2024-03-12-21:14:59,15m,47,3.7967,3.7967,3.7745,3.7745,2084.7,1710277200000,1710278099999
