symbol,start_time,end_time,interval,number_of_trades,close,high,low,open,volume,tic,toc
TRX,2024-03-12-00:00:00,2024-03-12-00:14:59,15m,26,0.1339,0.13394,0.13384,0.13385,208789.0,1710201600000,1710202499999
TRX,2024-03-12-00:15:00,2024-03-12-00:29:59,15m,20,0.13395,0.13397,0.1339,0.1339,3276.0,1710202500000,1710203399999
TRX,2024-03-12-00:30:00,2024-03-12-00:44:59,15m,21,0.13401,0.13404,0.13394,0.13394,3400.0,1710203400000,1710204299999
TRX,2024-03-12-00:45:00,2024-03-12-00:59:59,15m,32,0.13388,0.13402,0.13388,0.13402,134846.0,1710204300000,1710205199999
TRX,2024-03-12-01:00:00,2024-03-12-01:14:59,15m,59,0.13391,0.13393,0.13379,0.13388,479736.0,1710205200000,1710206099999
TRX,2024-03-12-01:15:00,2024-03-12-01:29:59,15m,20,0.1341,0.1341,0.13394,0.13394,14479.0,1710206100000,1710206999999
TRX,2024-03-12-01:30:00,2024-03-12-01:44:59,15m,23,0.13414,0.13416,0.13406,0.13406,8603.0,1710207000000,1710207899999
TRX,2024-03-12-01:45:00,2024-03-12-01:59:59,15m,26,0.13414,0.13419,0.13411,0.13413,10759.0,1710207900000,1710208799999
TRX,2024-03-12-02:00:00,2024-03-12-02:14:59,15m,17,0.13421,0.13421,0.13414,0.13418,4635.0,1710208800000,1710209699999
TRX,2024-03-12-02:15:00,2024-03-12-02:29:59,15m,59,0.13402,0.13421,0.134,0.13421,282311.0,1710209700000,1710210599999
TRX,2024-03-12-02:30:00,2024-03-12-02:44:59,15m,30,0.13369,0.13399,0.13349,0.13399,47718.0,1710210600000,1710211499999
TRX,2024-03-12-02:45:00,2024-03-12-02:59:59,15m,38,0.13357,0.13368,0.13343,0.13368,93621.0,1710211500000,1710212399999
TRX,2024-03-12-03:00:00,2024-03-12-03:14:59,15m,29,0.13361,0.13368,0.13355,0.13357,13465.0,1710212400000,1710213299999
TRX,2024-03-12-03:15:00,2024-03-12-03:29:59,15m,51,0.13349,0.13375,0.13321,0.13366,427290.0,1710213300000,1710214199999
TRX,2024-03-12-03:30:00,2024-03-12-03:44:59,15m,30,0.1333,0.13346,0.13329,0.13345,17302.0,1710214200000,1710215099999
TRX,2024-03-12-03:45:00,2024-03-12-03:59:59,15m,49,0.13316,0.13333,0.13311,0.13331,111347.0,1710215100000,1710215999999
TRX,2024-03-12-04:00:00,2024-03-12-04:14:59,15m,48,0.13313,0.13313,0.13264,0.13312,420837.0,1710216000000,1710216899999
TRX,2024-03-12-04:15:00,2024-03-12-04:29:59,15m,23,0.13322,0.13327,0.13313,0.13313,7375.0,1710216900000,1710217799999
TRX,2024-03-12-04:30:00,2024-03-12-04:44:59,15m,22,0.13299,0.13318,0.13295,0.13315,4348.0,1710217800000,1710218699999
TRX,2024-03-12-04:45:00,2024-03-12-04:59:59,15m,24,0.13299,0.13304,0.13295,0.13298,13984.0,1710218700000,1710219599999
TRX,2024-03-12-05:00:00,2024-03-12-05:14:59,15m,21,0.13293,0.13301,0.13291,0.13296,3513.0,1710219600000,1710220499999
TRX,2024-03-12-05:15:00,2024-03-12-05:29:59,15m,24,0.13306,0.13307,0.13294,0.13296,3200.0,1710220500000,1710221399999
TRX,2024-03-12-05:30:00,2024-03-12-05:44:59,15m,19,0.13315,0.13315,0.13297,0.13307,3831.0,1710221400000,1710222299999
TRX,2024-03-12-05:45:00,2024-03-12-05:59:59,15m,24,0.1332,0.13323,0.13312,0.13315,4046.0,1710222300000,1710223199999
TRX,2024-03-12-06:00:00,2024-03-12-06:14:59,15m,32,0.13287,0.13314,0.13286,0.13314,15746.0,1710223200000,1710224099999
TRX,2024-03-12-06:15:00,2024-03-12-06:29:59,15m,25,0.13266,0.13293,0.13265,0.13278,50209.0,1710224100000,1710224999999
TRX,2024-03-12-06:30:00,2024-03-12-06:44:59,15m,35,0.13263,0.13272,0.13251,0.13256,205504.0,1710225000000,1710225899999
TRX,2024-03-12-06:45:00,2024-03-12-06:59:59,15m,31,0.1329,0.13294,0.13262,0.13263,10624.0,1710225900000,1710226799999
TRX,2024-03-12-07:00:00,2024-03-12-07:14:59,15m,29,0.13279,0.13288,0.13268,0.13288,74423.0,1710226800000,1710227699999
TRX,2024-03-12-07:15:00,2024-03-12-07:29:59,15m,28,0.1328,0.13293,0.13279,0.13281,18084.0,1710227700000,1710228599999
TRX,2024-03-12-07:30:00,2024-03-12-07:44:59,15m,31,0.13256,0.13278,0.13255,0.13278,36514.0,1710228600000,1710229499999
TRX,2024-03-12-07:45:00,2024-03-12-07:59:59,15m,26,0.13265,0.13269,0.13253,0.13257,8036.0,1710229500000,1710230399999
TRX,2024-03-12-08:00:00,2024-03-12-08:14:59,15m,33,0.1321,0.13271,0.1321,0.13264,67088.0,1710230400000,1710231299999
TRX,2024-03-12-08:15:00,2024-03-12-08:29:59,15m,33,0.13193,0.13221,0.13192,0.132,122146.0,1710231300000,1710232199999
TRX,2024-03-12-08:30:00,2024-03-12-08:44:59,15m,43,0.13178,0.13195,0.1317,0.13192,438855.0,1710232200000,1710233099999
TRX,2024-03-12-08:45:00,2024-03-12-08:59:59,15m,57,0.13179,0.13186,0.13175,0.13184,357496.0,1710233100000,1710233999999
TRX,2024-03-12-09:00:00,2024-03-12-09:14:59,15m,39,0.13186,0.1319,0.13173,0.13177,160763.0,1710234000000,1710234899999
TRX,2024-03-12-09:15:00,2024-03-12-09:29:59,15m,19,0.13221,0.13221,0.1318,0.1319,44198.0,1710234900000,1710235799999
TRX,2024-03-12-09:30:00,2024-03-12-09:44:59,15m,25,0.13217,0.13231,0.13217,0.13228,38903.0,1710235800000,1710236699999
TRX,2024-03-12-09:45:00,2024-03-12-09:59:59,15m,27,0.13211,0.13232,0.13207,0.1322,12925.0,1710236700000,1710237599999
TRX,2024-03-12-10:00:00,2024-03-12-10:14:59,15m,33,0.13212,0.13213,0.13204,0.13207,89616.0,1710237600000,1710238499999
