symbol,start_time,end_time,interval,number_of_trades,close,high,low,open,volume,tic,toc
UMA,2024-02-08-00:00:00,2024-02-08-00:14:59,15m,26,4.1167,4.131,4.1052,4.131,1598.9,1707350400000,1707351299999
UMA,2024-02-08-00:15:00,2024-02-08-00:29:59,15m,20,4.149,4.149,4.113,4.113,99.5,1707351300000,1707352199999
UMA,2024-02-08-00:30:00,2024-02-08-00:44:59,15m,22,4.1759,4.1828,4.144,4.1462,112.2,1707352200000,1707353099999
UMA,2024-02-08-00:45:00,2024-02-08-00:59:59,15m,17,4.1653,4.187,4.1627,4.1771,2104.5,1707353100000,1707353999999
UMA,2024-02-08-01:00:00,2024-02-08-01:14:59,15m,20,4.1491,4.1604,4.133,4.1604,1851.2,1707354000000,1707354899999
UMA,2024-02-08-01:15:00,2024-02-08-01:29:59,15m,21,4.1424,4.1462,4.1314,4.1381,109.1,1707354900000,1707355799999
UMA,2024-02-08-01:30:00,2024-02-08-01:44:59,15m,22,4.1374,4.1424,4.1241,4.1384,123.3,1707355800000,1707356699999
UMA,2024-02-08-01:45:00,2024-02-08-01:59:59,15m,22,4.1454,4.1563,4.1354,4.1399,2163.6,1707356700000,1707357599999
UMA,2024-02-08-02:00:00,2024-02-08-02:14:59,15m,20,4.1229,4.1449,4.1229,4.1449,99.5,1707357600000,1707358499999
UMA,2024-02-08-02:15:00,2024-02-08-02:29:59,15m,10,4.1264,4.1325,4.1194,4.124,51.7,1707358500000,1707359399999
UMA,2024-02-08-02:30:00,2024-02-08-02:44:59,15m,26,4.126,4.1375,4.117,4.1264,146.9,1707359400000,1707360299999
UMA,2024-02-08-02:45:00,2024-02-08-02:59:59,15m,21,4.1249,4.1299,4.1204,4.126,114.5,1707360300000,1707361199999
UMA,2024-02-08-03:00:00,2024-02-08-03:14:59,15m,23,4.1511,4.1535,4.1361,4.1367,131.5,1707361200000,1707362099999
UMA,2024-02-08-03:15:00,2024-02-08-03:29:59,15m,21,4.1419,4.1524,4.1419,4.15,100.5,1707362100000,1707362999999
UMA,2024-02-08-03:30:00,2024-02-08-03:44:59,15m,22,4.135,4.1495,4.131,4.143,117.6,1707363000000,1707363899999
UMA,2024-02-08-03:45:00,2024-02-08-03:59:59,15m,22,4.1364,4.1384,4.1319,4.1374,123.2,1707363900000,1707364799999
UMA,2024-02-08-04:00:00,2024-02-08-04:14:59,15m,18,4.1394,4.1409,4.1272,4.1409,604.5,1707364800000,1707365699999
UMA,2024-02-08-04:15:00,2024-02-08-04:29:59,15m,14,4.129,4.1423,4.1276,4.1375,997.8,1707365700000,1707366599999
UMA,2024-02-08-04:30:00,2024-02-08-04:44:59,15m,27,4.1314,4.1314,4.1162,4.1273,136.6,1707366600000,1707367499999
UMA,2024-02-08-04:45:00,2024-02-08-04:59:59,15m,24,4.1363,4.1414,4.1278,4.132,130.8,1707367500000,1707368399999
UMA,2024-02-08-05:00:00,2024-02-08-05:14:59,15m,18,4.1227,4.1356,4.1184,4.1334,1085.2,1707368400000,1707369299999
UMA,2024-02-08-05:15:00,2024-02-08-05:29:59,15m,24,4.1383,4.1383,4.1181,4.1255,1991.3,1707369300000,1707370199999
UMA,2024-02-08-05:30:00,2024-02-08-05:44:59,15m,18,4.154,4.1565,4.1331,4.1331,77.3,1707370200000,1707371099999
UMA,2024-02-08-05:45:00,2024-02-08-05:59:59,15m,18,4.1178,4.1469,4.1173,4.1469,90.5,1707371100000,1707371999999
UMA,2024-02-08-06:00:00,2024-02-08-06:14:59,15m,14,4.095,4.1127,4.095,4.1127,82.2,1707372000000,1707372899999
UMA,2024-02-08-06:15:00,2024-02-08-06:29:59,15m,22,4.1074,4.1115,4.0989,4.1013,109.0,1707372900000,1707373799999
UMA,2024-02-08-06:30:00,2024-02-08-06:44:59,15m,29,4.1014,4.1105,4.0991,4.1055,164.4,1707373800000,1707374699999
UMA,2024-02-08-06:45:00,2024-02-08-06:59:59,15m,20,4.0958,4.1014,4.092,4.1,119.9,1707374700000,1707375599999
UMA,2024-02-08-07:00:00,2024-02-08-07:14:59,15m,24,4.0911,4.0932,4.0801,4.0932,144.2,1707375600000,1707376499999
UMA,2024-02-08-07:15:00,2024-02-08-07:29:59,15m,18,4.1015,4.1015,4.0851,4.0905,91.8,1707376500000,1707377399999
UMA,2024-02-08-07:30:00,2024-02-08-07:44:59,15m,26,4.0924,4.0974,4.088,4.0965,149.6,1707377400000,1707378299999
UMA,2024-02-08-07:45:00,2024-02-08-07:59:59,15m,20,4.0929,4.1029,4.0869,4.0951,107.3,1707378300000,1707379199999
UMA,2024-02-08-08:00:00,2024-02-08-08:14:59,15m,26,4.1024,4.1024,4.0858,4.0963,1049.0,1707379200000,1707380099999
UMA,2024-02-08-08:15:00,2024-02-08-08:29:59,15m,20,4.0971,4.11,4.0971,4.1001,1040.2,1707380100000,1707380999999
UMA,2024-02-08-08:30:00,2024-02-08-08:44:59,15m,14,4.0994,4.0994,4.0843,4.0924,67.8,1707381000000,1707381899999
UMA,2024-02-08-08:45:00,2024-02-08-08:59:59,15m,19,4.1053,4.1083,4.0989,4.1013,106.2,1707381900000,1707382799999
UMA,2024-02-08-09:00:00,2024-02-08-09:14:59,15m,22,4.0987,4.1036,4.0972,4.0996,108.4,1707382800000,1707383699999
UMA,2024-02-08-09:15:00,2024-02-08-09:29:59,15m,20,4.1004,4.1004,4.0925,4.0932,118.1,1707383700000,1707384599999
UMA,2024-02-08-09:30:00,2024-02-08-09:44:59,15m,15,4.099,4.1064,4.0961,4.0976,87.2,1707384600000,1707385499999
UMA,2024-02-08-09:45:00,2024-02-08-09:59:59,15m,19,4.1098,4.1113,4.097,4.0971,104.3,1707385500000,1707386399999
UMA,2024-02-08-10:00:00,2024-02-08-10:14:59,15m,24,4.1435,4.1435,4.1104,4.1104,116.7,1707386400000,1707387299999
UMA,2024-02-08-10:15:00,2024-02-08-10:29:59,15m,22,4.1092,4.1281,4.1051,4.1281,107.2,1707387300000,1707388199999
UMA,2024-02-08-10:30:00,2024-02-08-10:44:59,15m,22,4.1018,4.1066,4.0971,4.1051,116.9,1707388200000,1707389099999
UMA,2024-02-08-10:45:00,2024-02-08-10:59:59,15m,21,4.1099,4.1144,4.1019,4.1019,110.9,1707389100000,1707389999999
UMA,2024-02-08-11:00:00,2024-02-08-11:14:59,15m,21,4.1066,4.1086,4.0862,4.1086,1163.6,1707390000000,1707390899999
UMA,2024-02-08-11:15:00,2024-02-08-11:29:59,15m,22,4.1114,4.1175,4.1001,4.1057,104.8,1707390900000,1707391799999
UMA,2024-02-08-11:30:00,2024-02-08-11:44:59,15m,21,4.1164,4.1174,4.1004,4.1049,2163.3,1707391800000,1707392699999
UMA,2024-02-08-11:45:00,2024-02-08-11:59:59,15m,20,4.1064,4.1294,4.1064,4.1129,98.9,1707392700000,1707393599999
UMA,2024-02-08-12:00:00,2024-02-08-12:14:59,15m,24,4.1233,4.1283,4.1043,4.1043,154.7,1707393600000,1707394499999
UMA,2024-02-08-12:15:00,2024-02-08-12:29:59,15m,19,4.1244,4.1297,4.12,4.1272,103.7,1707394500000,1707395399999
UMA,2024-02-08-12:30:00,2024-02-08-12:44:59,15m,16,4.13,4.13,4.1153,4.1222,1130.6,1707395400000,1707396299999
UMA,2024-02-08-12:45:00,2024-02-08-12:59:59,15m,21,4.1258,4.132,4.1148,4.1294,94.5,1707396300000,1707397199999
UMA,2024-02-08-13:00:00,2024-02-08-13:14:59,15m,25,4.1161,4.1324,4.1161,4.1275,138.4,1707397200000,1707398099999
UMA,2024-02-08-13:15:00,2024-02-08-13:29:59,15m,20,4.0922,4.1183,4.091,4.1183,1149.1,1707398100000,1707398999999
UMA,2024-02-08-13:30:00,2024-02-08-13:44:59,15m,20,4.0745,4.0893,4.0681,4.0893,95.3,1707399000000,1707399899999
UMA,2024-02-08-13:45:00,2024-02-08-13:59:59,15m,26,4.0993,4.1009,4.064,4.0775,1046.0,1707399900000,1707400799999
UMA,2024-02-08-14:00:00,2024-02-08-14:14:59,15m,15,4.124,4.124,4.0894,4.0922,1063.7,1707400800000,1707401699999
UMA,2024-02-08-14:15:00,2024-02-08-14:29:59,15m,22,4.1051,4.1293,4.1051,4.1263,119.8,1707401700000,1707402599999
UMA,2024-02-08-14:30:00,2024-02-08-14:44:59,15m,22,4.1113,4.1144,4.0909,4.0988,139.4,1707402600000,1707403499999
UMA,2024-02-08-14:45:00,2024-02-08-14:59:59,15m,23,4.1184,4.1262,4.1138,4.1183,110.5,1707403500000,1707404399999
UMA,2024-02-08-15:00:00,2024-02-08-15:14:59,15m,21,4.1074,4.1253,4.1059,4.1184,120.2,1707404400000,1707405299999
UMA,2024-02-08-15:15:00,2024-02-08-15:29:59,15m,27,4.1333,4.1333,4.1064,4.1083,1831.7,1707405300000,1707406199999
UMA,2024-02-08-15:30:00,2024-02-08-15:44:59,15m,26,4.1449,4.1454,4.1274,4.1319,1916.4,1707406200000,1707407099999
UMA,2024-02-08-15:45:00,2024-02-08-15:59:59,15m,16,4.1199,4.1409,4.1199,4.1409,84.2,1707407100000,1707407999999
UMA,2024-02-08-16:00:00,2024-02-08-16:14:59,15m,21,4.1139,4.1312,4.1059,4.1206,3967.7,1707408000000,1707408899999
UMA,2024-02-08-16:15:00,2024-02-08-16:29:59,15m,21,4.0881,4.1189,4.0881,4.1189,7707.6,1707408900000,1707409799999
UMA,2024-02-08-16:30:00,2024-02-08-16:44:59,15m,21,4.0682,4.0974,4.0682,4.0913,1182.1,1707409800000,1707410699999
UMA,2024-02-08-16:45:00,2024-02-08-16:59:59,15m,21,4.0258,4.0652,3.9794,4.0643,2092.0,1707410700000,1707411599999
UMA,2024-02-08-17:00:00,2024-02-08-17:14:59,15m,13,4.0005,4.0284,4.0005,4.0219,1047.2,1707411600000,1707412499999
UMA,2024-02-08-17:15:00,2024-02-08-17:29:59,15m,20,4.0407,4.0464,4.0076,4.0076,2110.7,1707412500000,1707413399999
UMA,2024-02-08-17:30:00,2024-02-08-17:44:59,15m,13,4.0439,4.0583,4.0335,4.0397,1137.2,1707413400000,1707414299999
UMA,2024-02-08-17:45:00,2024-02-08-17:59:59,15m,25,4.0163,4.0399,4.0138,4.0399,145.0,1707414300000,1707415199999
UMA,2024-02-08-18:00:00,2024-02-08-18:14:59,15m,26,4.0213,4.0253,4.004,4.0204,1041.0,1707415200000,1707416099999
UMA,2024-02-08-18:15:00,2024-02-08-18:29:59,15m,25,4.026,4.0321,4.0112,4.0194,155.0,1707416100000,1707416999999
UMA,2024-02-08-18:30:00,2024-02-08-18:44:59,15m,22,4.0229,4.0305,4.017,4.0203,111.6,1707417000000,1707417899999
UMA,2024-02-08-18:45:00,2024-02-08-18:59:59,15m,18,4.0269,4.0414,4.021,4.021,98.5,1707417900000,1707418799999
UMA,2024-02-08-19:00:00,2024-02-08-19:14:59,15m,21,4.0098,4.0332,4.0098,4.0276,108.2,1707418800000,1707419699999
UMA,2024-02-08-19:15:00,2024-02-08-19:29:59,15m,21,4.0295,4.0296,4.0096,4.0096,106.2,1707419700000,1707420599999
UMA,2024-02-08-19:30:00,2024-02-08-19:44:59,15m,23,4.0304,4.0355,4.019,4.0295,122.4,1707420600000,1707421499999
UMA,2024-02-08-19:45:00,2024-02-08-19:59:59,15m,33,4.0214,4.035,4.0189,4.0305,176.0,1707421500000,1707422399999
UMA,2024-02-08-20:00:00,2024-02-08-20:14:59,15m,22,4.0305,4.0339,4.0155,4.0155,106.6,1707422400000,1707423299999
UMA,2024-02-08-20:15:00,2024-02-08-20:29:59,15m,22,4.0301,4.0445,4.0222,4.0335,125.0,1707423300000,1707424199999
UMA,2024-02-08-20:30:00,2024-02-08-20:44:59,15m,19,4.027,4.0374,4.027,4.0321,7076.0,1707424200000,1707425099999
UMA,2024-02-08-20:45:00,2024-02-08-20:59:59,15m,18,4.0313,4.0353,4.0229,4.0229,1054.1,1707425100000,1707425999999
UMA,2024-02-08-21:00:00,2024-02-08-21:14:59,15m,19,4.0146,4.0251,4.0065,4.0251,836.9,1707426000000,1707426899999
UMA,2024-02-08-21:15:00,2024-02-08-21:29:59,15m,24,4.0233,4.0254,4.0133,4.0133,131.9,1707426900000,1707427799999
UMA,2024-02-08-21:30:00,2024-02-08-21:44:59,15m,21,4.018,4.0273,4.015,4.0273,108.9,1707427800000,1707428699999
UMA,2024-02-08-21:45:00,2024-02-08-21:59:59,15m,22,4.0274,4.0288,4.011,4.0155,109.6,1707428700000,1707429599999
UMA,2024-02-08-22:00:00,2024-02-08-22:14:59,15m,17,4.0304,4.0405,4.019,4.0357,101.2,1707429600000,1707430499999
UMA,2024-02-08-22:15:00,2024-02-08-22:29:59,15m,26,4.0371,4.0415,4.031,4.031,142.5,1707430500000,1707431399999
UMA,2024-02-08-22:30:00,2024-02-08-22:44:59,15m,19,4.0348,4.0445,4.0329,4.0389,116.1,1707431400000,1707432299999
UMA,2024-02-08-22:45:00,2024-02-08-22:59:59,15m,28,4.0464,4.0504,4.0349,4.0349,1769.5,1707432300000,1707433199999
UMA,2024-02-08-23:00:00,2024-02-08-23:14:59,15m,20,4.0634,4.0635,4.0484,4.0484,106.3,1707433200000,1707434099999
UMA,2024-02-08-23:15:00,2024-02-08-23:29:59,15m,23,4.0825,4.0825,4.0551,4.0551,126.8,1707434100000,1707434999999
UMA,2024-02-08-23:30:00,2024-02-08-23:44:59,15m,24,4.1085,4.1099,4.09,4.09,129.7,1707435000000,1707435899999
UMA,2024-02-08-23:45:00,2024-02-08-23:59:59,15m,21,4.0809,4.1154,4.0799,4.106,1041.0,1707435900000,1707436799999
UMA,2024-02-09-00:00:00,2024-02-09-00:14:59,15m,25,4.1115,4.1198,4.0804,4.0894,1136.4,1707436800000,1707437699999
UMA,2024-02-09-00:15:00,2024-02-09-00:29:59,15m,19,4.1574,4.1574,4.1081,4.1081,1098.4,1707437700000,1707438599999
UMA,2024-02-09-00:30:00,2024-02-09-00:44:59,15m,15,4.1359,4.158,4.12,4.155,78.9,1707438600000,1707439499999
UMA,2024-02-09-00:45:00,2024-02-09-00:59:59,15m,14,4.1223,4.1443,4.1163,4.1434,91.1,1707439500000,1707440399999
UMA,2024-02-09-01:00:00,2024-02-09-01:14:59,15m,15,4.1047,4.1184,4.1047,4.1103,89.9,1707440400000,1707441299999
UMA,2024-02-09-01:15:00,2024-02-09-01:29:59,15m,25,4.1154,4.1213,4.1099,4.1154,142.2,1707441300000,1707442199999
UMA,2024-02-09-01:30:00,2024-02-09-01:44:59,15m,21,4.128,4.128,4.1058,4.1082,116.1,1707442200000,1707443099999
UMA,2024-02-09-01:45:00,2024-02-09-01:59:59,15m,21,4.1253,4.1273,4.1188,4.1273,96.3,1707443100000,1707443999999
UMA,2024-02-09-02:00:00,2024-02-09-02:14:59,15m,16,4.1351,4.1422,4.1199,4.122,88.5,1707444000000,1707444899999
UMA,2024-02-09-02:15:00,2024-02-09-02:29:59,15m,15,4.1389,4.1403,4.1278,4.1382,91.1,1707444900000,1707445799999
UMA,2024-02-09-02:30:00,2024-02-09-02:44:59,15m,16,4.1569,4.1583,4.1343,4.1382,78.9,1707445800000,1707446699999
UMA,2024-02-09-02:45:00,2024-02-09-02:59:59,15m,28,4.1554,4.1673,4.1554,4.1603,12714.1,1707446700000,1707447599999
UMA,2024-02-09-03:00:00,2024-02-09-03:14:59,15m,22,4.1682,4.1689,4.1542,4.1542,116.0,1707447600000,1707448499999
UMA,2024-02-09-03:15:00,2024-02-09-03:29:59,15m,18,4.1673,4.1713,4.1559,4.1638,86.5,1707448500000,1707449399999
UMA,2024-02-09-03:30:00,2024-02-09-03:44:59,15m,18,4.1648,4.1714,4.1599,4.1673,98.6,1707449400000,1707450299999
UMA,2024-02-09-03:45:00,2024-02-09-03:59:59,15m,20,4.1624,4.1674,4.1559,4.1673,112.3,1707450300000,1707451199999
UMA,2024-02-09-04:00:00,2024-02-09-04:14:59,15m,23,4.1879,4.188,4.1618,4.1618,110.4,1707451200000,1707452099999
UMA,2024-02-09-04:15:00,2024-02-09-04:29:59,15m,18,4.1988,4.1988,4.1746,4.1951,98.2,1707452100000,1707452999999
UMA,2024-02-09-04:30:00,2024-02-09-04:44:59,15m,19,4.2573,4.2573,4.1937,4.1959,101.1,1707453000000,1707453899999
UMA,2024-02-09-04:45:00,2024-02-09-04:59:59,15m,19,4.2173,4.2703,4.2017,4.2668,1129.9,1707453900000,1707454799999
UMA,2024-02-09-05:00:00,2024-02-09-05:14:59,15m,22,4.1848,4.2151,4.1839,4.2151,113.4,1707454800000,1707455699999
UMA,2024-02-09-05:15:00,2024-02-09-05:29:59,15m,19,4.191,4.1939,4.1808,4.1808,92.7,1707455700000,1707456599999
UMA,2024-02-09-05:30:00,2024-02-09-05:44:59,15m,21,4.157,4.1845,4.1539,4.1835,115.6,1707456600000,1707457499999
UMA,2024-02-09-05:45:00,2024-02-09-05:59:59,15m,22,4.1583,4.1688,4.1548,4.1548,97.2,1707457500000,1707458399999
UMA,2024-02-09-06:00:00,2024-02-09-06:14:59,15m,17,4.1357,4.1568,4.1347,4.1568,86.6,1707458400000,1707459299999
UMA,2024-02-09-06:15:00,2024-02-09-06:29:59,15m,20,4.1482,4.1521,4.1379,4.1379,104.8,1707459300000,1707460199999
UMA,2024-02-09-06:30:00,2024-02-09-06:44:59,15m,24,4.1378,4.1512,4.1347,4.1482,122.8,1707460200000,1707461099999
UMA,2024-02-09-06:45:00,2024-02-09-06:59:59,15m,24,4.1248,4.1382,4.1248,4.1382,135.3,1707461100000,1707461999999
UMA,2024-02-09-07:00:00,2024-02-09-07:14:59,15m,17,4.1298,4.1333,4.1142,4.1201,90.3,1707462000000,1707462899999
UMA,2024-02-09-07:15:00,2024-02-09-07:29:59,15m,21,4.1363,4.1433,4.1248,4.1302,116.1,1707462900000,1707463799999
UMA,2024-02-09-07:30:00,2024-02-09-07:44:59,15m,26,4.1479,4.1503,4.1279,4.1359,139.3,1707463800000,1707464699999
UMA,2024-02-09-07:45:00,2024-02-09-07:59:59,15m,20,4.1419,4.1494,4.1319,4.1444,119.1,1707464700000,1707465599999
UMA,2024-02-09-08:00:00,2024-02-09-08:14:59,15m,28,4.1254,4.1461,4.1213,4.1407,152.1,1707465600000,1707466499999
UMA,2024-02-09-08:15:00,2024-02-09-08:29:59,15m,26,4.1291,4.1308,4.1097,4.1308,136.5,1707466500000,1707467399999
UMA,2024-02-09-08:30:00,2024-02-09-08:44:59,15m,26,4.11,4.1196,4.1055,4.1196,151.9,1707467400000,1707468299999
UMA,2024-02-09-08:45:00,2024-02-09-08:59:59,15m,19,4.1222,4.1312,4.112,4.1137,93.1,1707468300000,1707469199999
UMA,2024-02-09-09:00:00,2024-02-09-09:14:59,15m,26,4.1197,4.1316,4.1094,4.1316,137.0,1707469200000,1707470099999
UMA,2024-02-09-09:15:00,2024-02-09-09:29:59,15m,21,4.1168,4.1222,4.0954,4.1164,115.8,1707470100000,1707470999999
UMA,2024-02-09-09:30:00,2024-02-09-09:44:59,15m,20,4.1038,4.118,4.1011,4.1179,104.8,1707471000000,1707471899999
UMA,2024-02-09-09:45:00,2024-02-09-09:59:59,15m,24,4.0948,4.1088,4.0938,4.0998,140.9,1707471900000,1707472799999
UMA,2024-02-09-10:00:00,2024-02-09-10:14:59,15m,19,4.1007,4.1082,4.0957,4.1028,98.4,1707472800000,1707473699999
UMA,2024-02-09-10:15:00,2024-02-09-10:29:59,15m,21,4.0907,4.1061,4.0907,4.0998,121.2,1707473700000,1707474599999
