symbol,start_time,end_time,interval,number_of_trades,close,high,low,open,volume,tic,toc
UNI,2024-02-10-00:00:00,2024-02-10-00:14:59,15m,32,6.6988,6.6988,6.6564,6.6573,2901.4,1707523200000,1707524099999
UNI,2024-02-10-00:15:00,2024-02-10-00:29:59,15m,20,6.6973,6.7024,6.685,6.685,636.4,1707524100000,1707524999999
UNI,2024-02-10-00:30:00,2024-02-10-00:44:59,15m,21,6.685,6.7002,6.6709,6.7002,387.0,1707525000000,1707525899999
UNI,2024-02-10-00:45:00,2024-02-10-00:59:59,15m,25,6.6534,6.6759,6.6534,6.6759,2138.0,1707525900000,1707526799999
UNI,2024-02-10-01:00:00,2024-02-10-01:14:59,15m,19,6.6495,6.6612,6.6389,6.6612,483.1,1707526800000,1707527699999
UNI,2024-02-10-01:15:00,2024-02-10-01:29:59,15m,19,6.6734,6.676,6.6457,6.6501,1412.0,1707527700000,1707528599999
UNI,2024-02-10-01:30:00,2024-02-10-01:44:59,15m,19,6.6855,6.6855,6.6644,6.6677,60.9,1707528600000,1707529499999
UNI,2024-02-10-01:45:00,2024-02-10-01:59:59,15m,33,6.7029,6.7039,6.6754,6.6817,6859.8,1707529500000,1707530399999
UNI,2024-02-10-02:00:00,2024-02-10-02:14:59,15m,40,6.7457,6.7476,6.7023,6.7037,14437.0,1707530400000,1707531299999
UNI,2024-02-10-02:15:00,2024-02-10-02:29:59,15m,14,6.7272,6.7408,6.7135,6.7408,427.8,1707531300000,1707532199999
UNI,2024-02-10-02:30:00,2024-02-10-02:44:59,15m,24,6.7476,6.7485,6.7203,6.7203,4729.5,1707532200000,1707533099999
UNI,2024-02-10-02:45:00,2024-02-10-02:59:59,15m,28,6.711,6.7461,6.711,6.7461,3053.2,1707533100000,1707533999999
UNI,2024-02-10-03:00:00,2024-02-10-03:14:59,15m,16,6.7136,6.7242,6.7092,6.7103,49.0,1707534000000,1707534899999
UNI,2024-02-10-03:15:00,2024-02-10-03:29:59,15m,21,6.7285,6.7312,6.7151,6.7222,63.3,1707534900000,1707535799999
UNI,2024-02-10-03:30:00,2024-02-10-03:44:59,15m,25,6.7323,6.7397,6.7226,6.7275,114.2,1707535800000,1707536699999
UNI,2024-02-10-03:45:00,2024-02-10-03:59:59,15m,22,6.7039,6.7301,6.7012,6.7297,1106.1,1707536700000,1707537599999
UNI,2024-02-10-04:00:00,2024-02-10-04:14:59,15m,18,6.7225,6.7229,6.7055,6.713,564.7,1707537600000,1707538499999
UNI,2024-02-10-04:15:00,2024-02-10-04:29:59,15m,21,6.6959,6.7183,6.6907,6.7167,166.0,1707538500000,1707539399999
UNI,2024-02-10-04:30:00,2024-02-10-04:44:59,15m,20,6.689,6.7024,6.689,6.7018,808.9,1707539400000,1707540299999
UNI,2024-02-10-04:45:00,2024-02-10-04:59:59,15m,20,6.6961,6.7121,6.687,6.6901,1386.0,1707540300000,1707541199999
UNI,2024-02-10-05:00:00,2024-02-10-05:14:59,15m,24,6.685,6.7021,6.6835,6.6973,181.1,1707541200000,1707542099999
UNI,2024-02-10-05:15:00,2024-02-10-05:29:59,15m,29,6.6752,6.6846,6.6752,6.6846,857.8,1707542100000,1707542999999
UNI,2024-02-10-05:30:00,2024-02-10-05:44:59,15m,20,6.6762,6.6782,6.6712,6.6718,2044.3,1707543000000,1707543899999
UNI,2024-02-10-05:45:00,2024-02-10-05:59:59,15m,23,6.6713,6.681,6.6683,6.6693,322.7,1707543900000,1707544799999
UNI,2024-02-10-06:00:00,2024-02-10-06:14:59,15m,22,6.6623,6.6747,6.662,6.6707,1376.6,1707544800000,1707545699999
UNI,2024-02-10-06:15:00,2024-02-10-06:29:59,15m,29,6.66,6.6649,6.66,6.6629,93.8,1707545700000,1707546599999
UNI,2024-02-10-06:30:00,2024-02-10-06:44:59,15m,23,6.65,6.662,6.65,6.661,1370.8,1707546600000,1707547499999
UNI,2024-02-10-06:45:00,2024-02-10-06:59:59,15m,23,6.6526,6.6534,6.6438,6.6497,1332.4,1707547500000,1707548399999
UNI,2024-02-10-07:00:00,2024-02-10-07:14:59,15m,24,6.6436,6.6524,6.6357,6.652,807.3,1707548400000,1707549299999
UNI,2024-02-10-07:15:00,2024-02-10-07:29:59,15m,22,6.6327,6.6438,6.6308,6.6423,1019.8,1707549300000,1707550199999
UNI,2024-02-10-07:30:00,2024-02-10-07:44:59,15m,24,6.6435,6.6435,6.6295,6.6331,178.2,1707550200000,1707551099999
UNI,2024-02-10-07:45:00,2024-02-10-07:59:59,15m,21,6.6217,6.6428,6.621,6.64,82.6,1707551100000,1707551999999
UNI,2024-02-10-08:00:00,2024-02-10-08:14:59,15m,18,6.6361,6.6361,6.6148,6.62,81.4,1707552000000,1707552899999
UNI,2024-02-10-08:15:00,2024-02-10-08:29:59,15m,24,6.6353,6.6377,6.6335,6.6377,343.5,1707552900000,1707553799999
UNI,2024-02-10-08:30:00,2024-02-10-08:44:59,15m,17,6.617,6.6331,6.6163,6.6327,1316.4,1707553800000,1707554699999
UNI,2024-02-10-08:45:00,2024-02-10-08:59:59,15m,22,6.5686,6.6075,6.5686,6.607,1414.2,1707554700000,1707555599999
UNI,2024-02-10-09:00:00,2024-02-10-09:14:59,15m,25,6.6076,6.6105,6.5768,6.5768,2426.1,1707555600000,1707556499999
UNI,2024-02-10-09:15:00,2024-02-10-09:29:59,15m,20,6.6245,6.6245,6.6063,6.6085,1950.7,1707556500000,1707557399999
UNI,2024-02-10-09:30:00,2024-02-10-09:44:59,15m,24,6.6201,6.6282,6.6184,6.6222,529.5,1707557400000,1707558299999
UNI,2024-02-10-09:45:00,2024-02-10-09:59:59,15m,17,6.5957,6.6171,6.5916,6.6171,455.2,1707558300000,1707559199999
UNI,2024-02-10-10:00:00,2024-02-10-10:14:59,15m,25,6.598,6.6024,6.5879,6.5924,2188.0,1707559200000,1707560099999
UNI,2024-02-10-10:15:00,2024-02-10-10:29:59,15m,18,6.5988,6.6002,6.5877,6.5895,511.8,1707560100000,1707560999999
UNI,2024-02-10-10:30:00,2024-02-10-10:44:59,15m,20,6.569,6.6013,6.569,6.6007,68.5,1707561000000,1707561899999
UNI,2024-02-10-10:45:00,2024-02-10-10:59:59,15m,20,6.5558,6.5687,6.5392,6.5687,2731.2,1707561900000,1707562799999
UNI,2024-02-10-11:00:00,2024-02-10-11:14:59,15m,24,6.5808,6.5818,6.5534,6.5536,1062.5,1707562800000,1707563699999
UNI,2024-02-10-11:15:00,2024-02-10-11:29:59,15m,18,6.5882,6.5917,6.5823,6.5847,80.1,1707563700000,1707564599999
UNI,2024-02-10-11:30:00,2024-02-10-11:44:59,15m,18,6.5932,6.5996,6.5851,6.5891,57.0,1707564600000,1707565499999
UNI,2024-02-10-11:45:00,2024-02-10-11:59:59,15m,20,6.6035,6.6043,6.5913,6.5977,63.1,1707565500000,1707566399999
