symbol,start_time,end_time,interval,number_of_trades,close,high,low,open,volume,tic,toc
W,2024-03-09-00:00:00,2024-03-09-00:14:59,15m,3,1.54,1.5451,1.54,1.5451,125.4,1709942400000,1709943299999
W,2024-03-09-00:15:00,2024-03-09-00:29:59,15m,7,1.5725,1.595,1.5725,1.589,182.9,1709943300000,1709944199999
W,2024-03-09-00:30:00,2024-03-09-00:44:59,15m,6,1.5985,1.5985,1.5699,1.5699,259.3,1709944200000,1709945099999
W,2024-03-09-00:45:00,2024-03-09-00:59:59,15m,0,1.5985,1.5985,1.5985,1.5985,0.0,1709945100000,1709945999999
W,2024-03-09-01:00:00,2024-03-09-01:14:59,15m,0,1.5985,1.5985,1.5985,1.5985,0.0,1709946000000,1709946899999
W,2024-03-09-01:15:00,2024-03-09-01:29:59,15m,0,1.5985,1.5985,1.5985,1.5985,0.0,1709946900000,1709947799999
W,2024-03-09-01:30:00,2024-03-09-01:44:59,15m,0,1.5985,1.5985,1.5985,1.5985,0.0,1709947800000,1709948699999
W,2024-03-09-01:45:00,2024-03-09-01:59:59,15m,0,1.5985,1.5985,1.5985,1.5985,0.0,1709948700000,1709949599999
W,2024-03-09-02:00:00,2024-03-09-02:14:59,15m,0,1.5985,1.5985,1.5985,1.5985,0.0,1709949600000,1709950499999
W,2024-03-09-02:15:00,2024-03-09-02:29:59,15m,0,1.5985,1.5985,1.5985,1.5985,0.0,1709950500000,1709951399999
W,2024-03-09-02:30:00,2024-03-09-02:44:59,15m,8,1.5692,1.5982,1.5692,1.5982,124.9,1709951400000,1709952299999
W,2024-03-09-02:45:00,2024-03-09-02:59:59,15m,4,1.5691,1.5985,1.5691,1.5692,84.5,1709952300000,1709953199999
W,2024-03-09-03:00:00,2024-03-09-03:14:59,15m,2,1.5691,1.5985,1.5691,1.5985,201.0,1709953200000,1709954099999
W,2024-03-09-03:15:00,2024-03-09-03:29:59,15m,10,1.5985,1.5985,1.5351,1.5691,227.6,1709954100000,1709954999999
