symbol,start_time,end_time,interval,number_of_trades,close,high,low,open,volume,tic,toc
WIF,2024-02-08-00:00:00,2024-02-08-00:14:59,15m,17,0.21658,0.21795,0.21638,0.21686,32566.0,1707350400000,1707351299999
WIF,2024-02-08-00:15:00,2024-02-08-00:29:59,15m,25,0.21125,0.21712,0.21125,0.21678,134911.0,1707351300000,1707352199999
WIF,2024-02-08-00:30:00,2024-02-08-00:44:59,15m,26,0.21495,0.21737,0.21287,0.21287,54203.0,1707352200000,1707353099999
WIF,2024-02-08-00:45:00,2024-02-08-00:59:59,15m,19,0.21692,0.21708,0.21477,0.21477,20336.0,1707353100000,1707353999999
WIF,2024-02-08-01:00:00,2024-02-08-01:14:59,15m,20,0.21802,0.21802,0.21497,0.21709,2992.0,1707354000000,1707354899999
WIF,2024-02-08-01:15:00,2024-02-08-01:29:59,15m,19,0.21822,0.21822,0.21648,0.21728,19669.0,1707354900000,1707355799999
WIF,2024-02-08-01:30:00,2024-02-08-01:44:59,15m,22,0.21582,0.21742,0.21531,0.21742,2512.0,1707355800000,1707356699999
WIF,2024-02-08-01:45:00,2024-02-08-01:59:59,15m,19,0.21698,0.21785,0.21454,0.21548,2039.0,1707356700000,1707357599999
WIF,2024-02-08-02:00:00,2024-02-08-02:14:59,15m,24,0.21662,0.21782,0.21532,0.21768,31889.0,1707357600000,1707358499999
WIF,2024-02-08-02:15:00,2024-02-08-02:29:59,15m,16,0.21472,0.21628,0.21458,0.21628,238356.0,1707358500000,1707359399999
WIF,2024-02-08-02:30:00,2024-02-08-02:44:59,15m,23,0.21592,0.21692,0.21442,0.21512,55741.0,1707359400000,1707360299999
WIF,2024-02-08-02:45:00,2024-02-08-02:59:59,15m,19,0.21286,0.21532,0.20876,0.21532,28017.0,1707360300000,1707361199999
WIF,2024-02-08-03:00:00,2024-02-08-03:14:59,15m,21,0.21348,0.21464,0.21338,0.21366,21008.0,1707361200000,1707362099999
WIF,2024-02-08-03:15:00,2024-02-08-03:29:59,15m,19,0.21418,0.21542,0.21308,0.21308,19299.0,1707362100000,1707362999999
WIF,2024-02-08-03:30:00,2024-02-08-03:44:59,15m,23,0.21338,0.21518,0.21328,0.21442,2178.0,1707363000000,1707363899999
WIF,2024-02-08-03:45:00,2024-02-08-03:59:59,15m,22,0.21198,0.21432,0.21108,0.21378,2541.0,1707363900000,1707364799999
WIF,2024-02-08-04:00:00,2024-02-08-04:14:59,15m,20,0.21398,0.21482,0.21278,0.21282,2152.0,1707364800000,1707365699999
WIF,2024-02-08-04:15:00,2024-02-08-04:29:59,15m,19,0.21612,0.21612,0.21378,0.21422,22777.0,1707365700000,1707366599999
WIF,2024-02-08-04:30:00,2024-02-08-04:44:59,15m,19,0.21772,0.21795,0.21562,0.21612,2036.0,1707366600000,1707367499999
WIF,2024-02-08-04:45:00,2024-02-08-04:59:59,15m,28,0.22149,0.22149,0.21754,0.21754,84362.0,1707367500000,1707368399999
WIF,2024-02-08-05:00:00,2024-02-08-05:14:59,15m,18,0.22092,0.22132,0.21948,0.22132,16960.0,1707368400000,1707369299999
WIF,2024-02-08-05:15:00,2024-02-08-05:29:59,15m,19,0.22398,0.22398,0.21952,0.22032,90416.0,1707369300000,1707370199999
WIF,2024-02-08-05:30:00,2024-02-08-05:44:59,15m,20,0.22187,0.22518,0.22187,0.22352,60572.0,1707370200000,1707371099999
WIF,2024-02-08-05:45:00,2024-02-08-05:59:59,15m,21,0.22328,0.22328,0.22148,0.22238,60627.0,1707371100000,1707371999999
WIF,2024-02-08-06:00:00,2024-02-08-06:14:59,15m,20,0.22487,0.22746,0.22067,0.22227,38965.0,1707372000000,1707372899999
WIF,2024-02-08-06:15:00,2024-02-08-06:29:59,15m,16,0.22562,0.22562,0.22362,0.22437,1515.0,1707372900000,1707373799999
WIF,2024-02-08-06:30:00,2024-02-08-06:44:59,15m,20,0.22432,0.22688,0.22428,0.22598,14350.0,1707373800000,1707374699999
WIF,2024-02-08-06:45:00,2024-02-08-06:59:59,15m,21,0.22178,0.22452,0.22178,0.22452,32802.0,1707374700000,1707375599999
WIF,2024-02-08-07:00:00,2024-02-08-07:14:59,15m,20,0.22422,0.22422,0.22228,0.22228,91270.0,1707375600000,1707376499999
WIF,2024-02-08-07:15:00,2024-02-08-07:29:59,15m,18,0.22178,0.22428,0.22178,0.22368,31502.0,1707376500000,1707377399999
WIF,2024-02-08-07:30:00,2024-02-08-07:44:59,15m,20,0.22298,0.22418,0.22238,0.22288,2125.0,1707377400000,1707378299999
WIF,2024-02-08-07:45:00,2024-02-08-07:59:59,15m,16,0.22102,0.22322,0.22014,0.22282,32938.0,1707378300000,1707379199999
WIF,2024-02-08-08:00:00,2024-02-08-08:14:59,15m,20,0.22253,0.22253,0.21995,0.22088,49008.0,1707379200000,1707380099999
WIF,2024-02-08-08:15:00,2024-02-08-08:29:59,15m,18,0.22178,0.22278,0.22078,0.22232,1901.0,1707380100000,1707380999999
WIF,2024-02-08-08:30:00,2024-02-08-08:44:59,15m,18,0.22322,0.22442,0.22296,0.22303,15385.0,1707381000000,1707381899999
WIF,2024-02-08-08:45:00,2024-02-08-08:59:59,15m,19,0.22322,0.22482,0.22308,0.22378,14930.0,1707381900000,1707382799999
WIF,2024-02-08-09:00:00,2024-02-08-09:14:59,15m,17,0.22118,0.22432,0.22098,0.22432,35651.0,1707382800000,1707383699999
WIF,2024-02-08-09:15:00,2024-02-08-09:29:59,15m,22,0.22348,0.22348,0.22098,0.22138,32934.0,1707383700000,1707384599999
WIF,2024-02-08-09:30:00,2024-02-08-09:44:59,15m,16,0.22368,0.22458,0.22278,0.22458,28554.0,1707384600000,1707385499999
WIF,2024-02-08-09:45:00,2024-02-08-09:59:59,15m,23,0.22632,0.22712,0.22388,0.22392,131172.0,1707385500000,1707386399999
WIF,2024-02-08-10:00:00,2024-02-08-10:14:59,15m,19,0.22718,0.22718,0.22548,0.22628,26339.0,1707386400000,1707387299999
WIF,2024-02-08-10:15:00,2024-02-08-10:29:59,15m,18,0.22598,0.22752,0.22558,0.22732,49278.0,1707387300000,1707388199999
WIF,2024-02-08-10:30:00,2024-02-08-10:44:59,15m,17,0.22708,0.22772,0.22663,0.22663,38177.0,1707388200000,1707389099999
WIF,2024-02-08-10:45:00,2024-02-08-10:59:59,15m,23,0.22778,0.22932,0.22702,0.22702,105220.0,1707389100000,1707389999999
WIF,2024-02-08-11:00:00,2024-02-08-11:14:59,15m,16,0.22458,0.22624,0.22287,0.22624,22195.0,1707390000000,1707390899999
WIF,2024-02-08-11:15:00,2024-02-08-11:29:59,15m,23,0.22562,0.22612,0.22375,0.22498,73505.0,1707390900000,1707391799999
WIF,2024-02-08-11:30:00,2024-02-08-11:44:59,15m,17,0.22512,0.22692,0.22502,0.22522,40116.0,1707391800000,1707392699999
