symbol,start_time,end_time,interval,number_of_trades,close,high,low,open,volume,tic,toc
WLD,2024-02-10-00:00:00,2024-02-10-00:14:59,15m,34,2.4923,2.4987,2.4901,2.4923,11147.4,1707523200000,1707524099999
WLD,2024-02-10-00:15:00,2024-02-10-00:29:59,15m,15,2.4905,2.4978,2.4903,2.491,1233.5,1707524100000,1707524999999
WLD,2024-02-10-00:30:00,2024-02-10-00:44:59,15m,22,2.4858,2.4887,2.4786,2.4887,3578.9,1707525000000,1707525899999
WLD,2024-02-10-00:45:00,2024-02-10-00:59:59,15m,26,2.4839,2.4881,2.4782,2.4837,2987.2,1707525900000,1707526799999
WLD,2024-02-10-01:00:00,2024-02-10-01:14:59,15m,31,2.4718,2.4895,2.4718,2.4887,3300.9,1707526800000,1707527699999
WLD,2024-02-10-01:15:00,2024-02-10-01:29:59,15m,18,2.4849,2.485,2.4713,2.4718,1147.2,1707527700000,1707528599999
WLD,2024-02-10-01:30:00,2024-02-10-01:44:59,15m,22,2.4983,2.4992,2.4852,2.4869,248.3,1707528600000,1707529499999
WLD,2024-02-10-01:45:00,2024-02-10-01:59:59,15m,14,2.5018,2.5018,2.4994,2.5003,372.1,1707529500000,1707530399999
WLD,2024-02-10-02:00:00,2024-02-10-02:14:59,15m,37,2.5136,2.5178,2.4998,2.4998,25386.8,1707530400000,1707531299999
WLD,2024-02-10-02:15:00,2024-02-10-02:29:59,15m,18,2.5257,2.5274,2.5192,2.5196,1126.7,1707531300000,1707532199999
WLD,2024-02-10-02:30:00,2024-02-10-02:44:59,15m,123,2.5331,2.5415,2.5196,2.5234,45085.9,1707532200000,1707533099999
WLD,2024-02-10-02:45:00,2024-02-10-02:59:59,15m,39,2.5357,2.5435,2.5336,2.5336,19868.7,1707533100000,1707533999999
WLD,2024-02-10-03:00:00,2024-02-10-03:14:59,15m,22,2.5517,2.5517,2.5347,2.5347,3797.6,1707534000000,1707534899999
WLD,2024-02-10-03:15:00,2024-02-10-03:29:59,15m,26,2.5401,2.5485,2.5396,2.5485,738.1,1707534900000,1707535799999
WLD,2024-02-10-03:30:00,2024-02-10-03:44:59,15m,30,2.5508,2.5514,2.5362,2.5398,23486.3,1707535800000,1707536699999
WLD,2024-02-10-03:45:00,2024-02-10-03:59:59,15m,37,2.5492,2.55,2.5406,2.5474,16941.6,1707536700000,1707537599999
WLD,2024-02-10-04:00:00,2024-02-10-04:14:59,15m,26,2.5472,2.5505,2.5453,2.5488,15423.5,1707537600000,1707538499999
WLD,2024-02-10-04:15:00,2024-02-10-04:29:59,15m,54,2.5515,2.5621,2.5459,2.5472,17645.6,1707538500000,1707539399999
WLD,2024-02-10-04:30:00,2024-02-10-04:44:59,15m,38,2.5566,2.5713,2.5501,2.5501,8565.2,1707539400000,1707540299999
WLD,2024-02-10-04:45:00,2024-02-10-04:59:59,15m,93,2.5753,2.5912,2.562,2.5719,32696.7,1707540300000,1707541199999
WLD,2024-02-10-05:00:00,2024-02-10-05:14:59,15m,70,2.5558,2.578,2.5505,2.578,18617.4,1707541200000,1707542099999
WLD,2024-02-10-05:15:00,2024-02-10-05:29:59,15m,82,2.5671,2.5712,2.5615,2.5628,21381.9,1707542100000,1707542999999
WLD,2024-02-10-05:30:00,2024-02-10-05:44:59,15m,95,2.598,2.6005,2.5649,2.5661,19934.3,1707543000000,1707543899999
WLD,2024-02-10-05:45:00,2024-02-10-05:59:59,15m,68,2.5821,2.6017,2.5735,2.5999,12351.0,1707543900000,1707544799999
WLD,2024-02-10-06:00:00,2024-02-10-06:14:59,15m,75,2.5841,2.6029,2.5808,2.5811,9570.1,1707544800000,1707545699999
WLD,2024-02-10-06:15:00,2024-02-10-06:29:59,15m,1077,2.5622,2.6127,2.56,2.5916,634728.4,1707545700000,1707546599999
WLD,2024-02-10-06:30:00,2024-02-10-06:44:59,15m,750,2.5584,2.5681,2.5208,2.5561,255119.4,1707546600000,1707547499999
WLD,2024-02-10-06:45:00,2024-02-10-06:59:59,15m,66,2.5443,2.5599,2.5393,2.5573,29812.2,1707547500000,1707548399999
WLD,2024-02-10-07:00:00,2024-02-10-07:14:59,15m,60,2.5176,2.5532,2.5125,2.548,16302.5,1707548400000,1707549299999
WLD,2024-02-10-07:15:00,2024-02-10-07:29:59,15m,19,2.5155,2.5245,2.5153,2.5189,1131.1,1707549300000,1707550199999
WLD,2024-02-10-07:30:00,2024-02-10-07:44:59,15m,28,2.5203,2.523,2.515,2.5205,12183.8,1707550200000,1707551099999
WLD,2024-02-10-07:45:00,2024-02-10-07:59:59,15m,22,2.5099,2.5232,2.5091,2.5191,1655.5,1707551100000,1707551999999
WLD,2024-02-10-08:00:00,2024-02-10-08:14:59,15m,43,2.5241,2.5289,2.5087,2.5094,11986.4,1707552000000,1707552899999
WLD,2024-02-10-08:15:00,2024-02-10-08:29:59,15m,23,2.5199,2.5287,2.5199,2.525,643.9,1707552900000,1707553799999
WLD,2024-02-10-08:30:00,2024-02-10-08:44:59,15m,17,2.5158,2.5296,2.5154,2.5194,585.2,1707553800000,1707554699999
WLD,2024-02-10-08:45:00,2024-02-10-08:59:59,15m,24,2.4911,2.5143,2.4911,2.5143,2953.9,1707554700000,1707555599999
WLD,2024-02-10-09:00:00,2024-02-10-09:14:59,15m,28,2.4872,2.5025,2.4868,2.4991,10894.9,1707555600000,1707556499999
WLD,2024-02-10-09:15:00,2024-02-10-09:29:59,15m,24,2.4922,2.4929,2.4841,2.4887,6080.5,1707556500000,1707557399999
WLD,2024-02-10-09:30:00,2024-02-10-09:44:59,15m,16,2.488,2.4972,2.4841,2.4926,143.3,1707557400000,1707558299999
WLD,2024-02-10-09:45:00,2024-02-10-09:59:59,15m,40,2.4661,2.4857,2.4661,2.4851,4562.8,1707558300000,1707559199999
WLD,2024-02-10-10:00:00,2024-02-10-10:14:59,15m,24,2.477,2.4774,2.4673,2.4717,989.8,1707559200000,1707560099999
WLD,2024-02-10-10:15:00,2024-02-10-10:29:59,15m,20,2.4733,2.4785,2.4701,2.4766,681.9,1707560100000,1707560999999
WLD,2024-02-10-10:30:00,2024-02-10-10:44:59,15m,26,2.4491,2.473,2.4491,2.4718,2374.4,1707561000000,1707561899999
WLD,2024-02-10-10:45:00,2024-02-10-10:59:59,15m,28,2.4445,2.4445,2.4269,2.4445,2175.5,1707561900000,1707562799999
WLD,2024-02-10-11:00:00,2024-02-10-11:14:59,15m,23,2.4597,2.4597,2.4464,2.4464,984.9,1707562800000,1707563699999
WLD,2024-02-10-11:15:00,2024-02-10-11:29:59,15m,25,2.4653,2.4653,2.4564,2.4583,1406.1,1707563700000,1707564599999
WLD,2024-02-10-11:30:00,2024-02-10-11:44:59,15m,48,2.4704,2.4913,2.4641,2.4641,42983.6,1707564600000,1707565499999
WLD,2024-02-10-11:45:00,2024-02-10-11:59:59,15m,25,2.4714,2.4725,2.4636,2.4725,6176.8,1707565500000,1707566399999
