symbol,start_time,end_time,interval,number_of_trades,close,high,low,open,volume,tic,toc
XAI,2024-02-08-00:00:00,2024-02-08-00:14:59,15m,19,0.87437,0.8754,0.8737,0.87434,511.4,1707350400000,1707351299999
XAI,2024-02-08-00:15:00,2024-02-08-00:29:59,15m,16,0.87187,0.87398,0.86497,0.87019,3418.2,1707351300000,1707352199999
XAI,2024-02-08-00:30:00,2024-02-08-00:44:59,15m,17,0.88025,0.88025,0.87102,0.87197,1324.0,1707352200000,1707353099999
XAI,2024-02-08-00:45:00,2024-02-08-00:59:59,15m,18,0.88396,0.88666,0.87828,0.88036,2107.0,1707353100000,1707353999999
XAI,2024-02-08-01:00:00,2024-02-08-01:14:59,15m,18,0.87377,0.882,0.87152,0.882,384.2,1707354000000,1707354899999
XAI,2024-02-08-01:15:00,2024-02-08-01:29:59,15m,24,0.87217,0.87497,0.86923,0.87197,616.6,1707354900000,1707355799999
XAI,2024-02-08-01:30:00,2024-02-08-01:44:59,15m,16,0.86946,0.87607,0.86946,0.87239,349.0,1707355800000,1707356699999
XAI,2024-02-08-01:45:00,2024-02-08-01:59:59,15m,20,0.87156,0.87386,0.86895,0.86954,502.4,1707356700000,1707357599999
XAI,2024-02-08-02:00:00,2024-02-08-02:14:59,15m,12,0.86854,0.87186,0.86666,0.86876,274.5,1707357600000,1707358499999
XAI,2024-02-08-02:15:00,2024-02-08-02:29:59,15m,13,0.87122,0.87171,0.86892,0.86892,26518.1,1707358500000,1707359399999
XAI,2024-02-08-02:30:00,2024-02-08-02:44:59,15m,16,0.86515,0.87301,0.86515,0.87145,375.6,1707359400000,1707360299999
XAI,2024-02-08-02:45:00,2024-02-08-02:59:59,15m,22,0.86548,0.86657,0.86267,0.86475,508.6,1707360300000,1707361199999
XAI,2024-02-08-03:00:00,2024-02-08-03:14:59,15m,19,0.86924,0.86924,0.86373,0.86591,4254.1,1707361200000,1707362099999
XAI,2024-02-08-03:15:00,2024-02-08-03:29:59,15m,18,0.87106,0.87356,0.86884,0.86894,420.3,1707362100000,1707362999999
XAI,2024-02-08-03:30:00,2024-02-08-03:44:59,15m,19,0.87076,0.87366,0.86946,0.87155,504.9,1707363000000,1707363899999
XAI,2024-02-08-03:45:00,2024-02-08-03:59:59,15m,24,0.86748,0.87216,0.86748,0.87176,539.7,1707363900000,1707364799999
XAI,2024-02-08-04:00:00,2024-02-08-04:14:59,15m,27,0.87175,0.87204,0.86891,0.86891,684.9,1707364800000,1707365699999
XAI,2024-02-08-04:15:00,2024-02-08-04:29:59,15m,18,0.87478,0.87485,0.86881,0.87111,511.4,1707365700000,1707366599999
XAI,2024-02-08-04:30:00,2024-02-08-04:44:59,15m,26,0.87292,0.87554,0.87097,0.87449,624.4,1707366600000,1707367499999
XAI,2024-02-08-04:45:00,2024-02-08-04:59:59,15m,19,0.87235,0.87482,0.8719,0.8719,429.8,1707367500000,1707368399999
XAI,2024-02-08-05:00:00,2024-02-08-05:14:59,15m,17,0.87591,0.87772,0.87255,0.87255,473.3,1707368400000,1707369299999
XAI,2024-02-08-05:15:00,2024-02-08-05:29:59,15m,13,0.87914,0.87914,0.87365,0.87545,316.7,1707369300000,1707370199999
XAI,2024-02-08-05:30:00,2024-02-08-05:44:59,15m,23,0.88061,0.88061,0.87643,0.87821,657.1,1707370200000,1707371099999
XAI,2024-02-08-05:45:00,2024-02-08-05:59:59,15m,22,0.88267,0.88447,0.87987,0.88144,550.6,1707371100000,1707371999999
XAI,2024-02-08-06:00:00,2024-02-08-06:14:59,15m,19,0.88621,0.88621,0.87607,0.88452,512.0,1707372000000,1707372899999
XAI,2024-02-08-06:15:00,2024-02-08-06:29:59,15m,17,0.88224,0.88555,0.87538,0.88555,7325.5,1707372900000,1707373799999
XAI,2024-02-08-06:30:00,2024-02-08-06:44:59,15m,22,0.87965,0.88487,0.87965,0.88324,3542.1,1707373800000,1707374699999
XAI,2024-02-08-06:45:00,2024-02-08-06:59:59,15m,25,0.87098,0.87843,0.87098,0.87843,563.3,1707374700000,1707375599999
XAI,2024-02-08-07:00:00,2024-02-08-07:14:59,15m,26,0.87195,0.874,0.86735,0.87073,1710.4,1707375600000,1707376499999
XAI,2024-02-08-07:15:00,2024-02-08-07:29:59,15m,13,0.87697,0.87697,0.86865,0.86974,323.0,1707376500000,1707377399999
XAI,2024-02-08-07:30:00,2024-02-08-07:44:59,15m,22,0.88188,0.88237,0.87526,0.87626,6669.6,1707377400000,1707378299999
XAI,2024-02-08-07:45:00,2024-02-08-07:59:59,15m,21,0.88299,0.88329,0.87878,0.88218,519.9,1707378300000,1707379199999
XAI,2024-02-08-08:00:00,2024-02-08-08:14:59,15m,17,0.88418,0.88509,0.87907,0.88336,392.3,1707379200000,1707380099999
XAI,2024-02-08-08:15:00,2024-02-08-08:29:59,15m,24,0.88254,0.88306,0.87999,0.88069,589.0,1707380100000,1707380999999
XAI,2024-02-08-08:30:00,2024-02-08-08:44:59,15m,22,0.88369,0.88369,0.88028,0.88075,595.0,1707381000000,1707381899999
XAI,2024-02-08-08:45:00,2024-02-08-08:59:59,15m,13,0.89356,0.89676,0.8838,0.8838,2077.2,1707381900000,1707382799999
XAI,2024-02-08-09:00:00,2024-02-08-09:14:59,15m,18,0.89012,0.8983,0.88934,0.89486,421.1,1707382800000,1707383699999
XAI,2024-02-08-09:15:00,2024-02-08-09:29:59,15m,17,0.89739,0.89739,0.89004,0.89004,440.0,1707383700000,1707384599999
XAI,2024-02-08-09:30:00,2024-02-08-09:44:59,15m,13,0.89886,0.89966,0.89547,0.89629,350.8,1707384600000,1707385499999
XAI,2024-02-08-09:45:00,2024-02-08-09:59:59,15m,22,0.89697,0.90026,0.89374,0.89967,600.5,1707385500000,1707386399999
XAI,2024-02-08-10:00:00,2024-02-08-10:14:59,15m,18,0.89599,0.89603,0.89211,0.896,2480.4,1707386400000,1707387299999
XAI,2024-02-08-10:15:00,2024-02-08-10:29:59,15m,10,0.88842,0.89332,0.88661,0.89332,3293.7,1707387300000,1707388199999
XAI,2024-02-08-10:30:00,2024-02-08-10:44:59,15m,18,0.88697,0.88947,0.88594,0.88655,449.1,1707388200000,1707389099999
XAI,2024-02-08-10:45:00,2024-02-08-10:59:59,15m,24,0.88598,0.88698,0.88557,0.88698,645.8,1707389100000,1707389999999
XAI,2024-02-08-11:00:00,2024-02-08-11:14:59,15m,23,0.85885,0.88625,0.85885,0.88597,4573.4,1707390000000,1707390899999
XAI,2024-02-08-11:15:00,2024-02-08-11:29:59,15m,16,0.8591,0.86785,0.85622,0.86536,791.9,1707390900000,1707391799999
XAI,2024-02-08-11:30:00,2024-02-08-11:44:59,15m,15,0.8572,0.86018,0.85138,0.85927,372.3,1707391800000,1707392699999
XAI,2024-02-08-11:45:00,2024-02-08-11:59:59,15m,16,0.85089,0.85499,0.85089,0.85499,2655.9,1707392700000,1707393599999
XAI,2024-02-08-12:00:00,2024-02-08-12:14:59,15m,15,0.8579,0.85807,0.8467,0.8467,3594.9,1707393600000,1707394499999
XAI,2024-02-08-12:15:00,2024-02-08-12:29:59,15m,19,0.85372,0.85784,0.85357,0.85534,461.8,1707394500000,1707395399999
XAI,2024-02-08-12:30:00,2024-02-08-12:44:59,15m,14,0.84916,0.85267,0.84707,0.85267,14033.2,1707395400000,1707396299999
