symbol,start_time,end_time,interval,number_of_trades,close,high,low,open,volume,tic,toc
XRP,2024-03-12-00:00:00,2024-03-12-00:14:59,15m,141,0.72538,0.73417,0.71607,0.72442,911838.0,1710201600000,1710202499999
XRP,2024-03-12-00:15:00,2024-03-12-00:29:59,15m,75,0.71418,0.72675,0.71324,0.72671,512080.0,1710202500000,1710203399999
XRP,2024-03-12-00:30:00,2024-03-12-00:44:59,15m,48,0.71457,0.71969,0.71214,0.71431,282542.0,1710203400000,1710204299999
XRP,2024-03-12-00:45:00,2024-03-12-00:59:59,15m,62,0.70422,0.71618,0.70422,0.71527,270804.0,1710204300000,1710205199999
XRP,2024-03-12-01:00:00,2024-03-12-01:14:59,15m,41,0.71185,0.71269,0.70423,0.70423,230221.0,1710205200000,1710206099999
XRP,2024-03-12-01:15:00,2024-03-12-01:29:59,15m,32,0.71349,0.71403,0.71138,0.71138,198238.0,1710206100000,1710206999999
XRP,2024-03-12-01:30:00,2024-03-12-01:44:59,15m,34,0.7144,0.7144,0.70938,0.71241,39877.0,1710207000000,1710207899999
XRP,2024-03-12-01:45:00,2024-03-12-01:59:59,15m,26,0.71055,0.71378,0.70964,0.71378,132393.0,1710207900000,1710208799999
XRP,2024-03-12-02:00:00,2024-03-12-02:14:59,15m,27,0.71429,0.71429,0.70924,0.71102,106295.0,1710208800000,1710209699999
XRP,2024-03-12-02:15:00,2024-03-12-02:29:59,15m,25,0.71269,0.7158,0.71261,0.71429,30596.0,1710209700000,1710210599999
XRP,2024-03-12-02:30:00,2024-03-12-02:44:59,15m,24,0.71172,0.71295,0.70829,0.71282,126002.0,1710210600000,1710211499999
XRP,2024-03-12-02:45:00,2024-03-12-02:59:59,15m,34,0.70723,0.71192,0.70636,0.71192,67060.0,1710211500000,1710212399999
XRP,2024-03-12-03:00:00,2024-03-12-03:14:59,15m,21,0.70616,0.70811,0.70457,0.70715,161341.0,1710212400000,1710213299999
XRP,2024-03-12-03:15:00,2024-03-12-03:29:59,15m,123,0.69379,0.70583,0.69327,0.70583,628165.0,1710213300000,1710214199999
XRP,2024-03-12-03:30:00,2024-03-12-03:44:59,15m,38,0.69622,0.69889,0.69315,0.69716,367060.0,1710214200000,1710215099999
XRP,2024-03-12-03:45:00,2024-03-12-03:59:59,15m,45,0.68895,0.6956,0.68886,0.6951,137537.0,1710215100000,1710215999999
XRP,2024-03-12-04:00:00,2024-03-12-04:14:59,15m,47,0.69332,0.69332,0.68708,0.69181,221700.0,1710216000000,1710216899999
XRP,2024-03-12-04:15:00,2024-03-12-04:29:59,15m,40,0.69509,0.69659,0.69454,0.69454,332384.0,1710216900000,1710217799999
XRP,2024-03-12-04:30:00,2024-03-12-04:44:59,15m,23,0.69571,0.69571,0.69267,0.6953,62467.0,1710217800000,1710218699999
XRP,2024-03-12-04:45:00,2024-03-12-04:59:59,15m,23,0.69815,0.69815,0.69433,0.69433,83831.0,1710218700000,1710219599999
XRP,2024-03-12-05:00:00,2024-03-12-05:14:59,15m,33,0.69534,0.69741,0.69416,0.69741,150011.0,1710219600000,1710220499999
XRP,2024-03-12-05:15:00,2024-03-12-05:29:59,15m,28,0.69724,0.69788,0.69528,0.69528,64982.0,1710220500000,1710221399999
XRP,2024-03-12-05:30:00,2024-03-12-05:44:59,15m,21,0.70082,0.70129,0.69587,0.69714,29451.0,1710221400000,1710222299999
XRP,2024-03-12-05:45:00,2024-03-12-05:59:59,15m,20,0.69917,0.70039,0.69686,0.70039,112931.0,1710222300000,1710223199999
XRP,2024-03-12-06:00:00,2024-03-12-06:14:59,15m,46,0.69152,0.69842,0.69098,0.69842,168082.0,1710223200000,1710224099999
XRP,2024-03-12-06:15:00,2024-03-12-06:29:59,15m,24,0.69088,0.69423,0.69,0.69118,103275.0,1710224100000,1710224999999
XRP,2024-03-12-06:30:00,2024-03-12-06:44:59,15m,56,0.68999,0.69356,0.68724,0.68948,234491.0,1710225000000,1710225899999
XRP,2024-03-12-06:45:00,2024-03-12-06:59:59,15m,44,0.6975,0.6981,0.69175,0.69175,187117.0,1710225900000,1710226799999
XRP,2024-03-12-07:00:00,2024-03-12-07:14:59,15m,28,0.70154,0.70295,0.69708,0.70048,120790.0,1710226800000,1710227699999
