symbol,start_time,end_time,interval,number_of_trades,close,high,low,open,volume,tic,toc
YGG,2024-02-10-00:00:00,2024-02-10-00:14:59,15m,23,0.45269,0.45336,0.45172,0.45191,6394.0,1707523200000,1707524099999
YGG,2024-02-10-00:15:00,2024-02-10-00:29:59,15m,25,0.45327,0.4538,0.45239,0.45248,4084.0,1707524100000,1707524999999
YGG,2024-02-10-00:30:00,2024-02-10-00:44:59,15m,18,0.45376,0.45409,0.45279,0.45398,2730.0,1707525000000,1707525899999
YGG,2024-02-10-00:45:00,2024-02-10-00:59:59,15m,23,0.45314,0.45326,0.45244,0.4532,3026.0,1707525900000,1707526799999
YGG,2024-02-10-01:00:00,2024-02-10-01:14:59,15m,22,0.45327,0.45442,0.45314,0.45323,937.0,1707526800000,1707527699999
YGG,2024-02-10-01:15:00,2024-02-10-01:29:59,15m,17,0.45556,0.45569,0.45356,0.45403,750.0,1707527700000,1707528599999
YGG,2024-02-10-01:30:00,2024-02-10-01:44:59,15m,21,0.45518,0.45539,0.45393,0.45539,946.0,1707528600000,1707529499999
YGG,2024-02-10-01:45:00,2024-02-10-01:59:59,15m,25,0.4551,0.45518,0.45372,0.45478,1125.0,1707529500000,1707530399999
YGG,2024-02-10-02:00:00,2024-02-10-02:14:59,15m,25,0.45496,0.45592,0.45468,0.45507,2757.0,1707530400000,1707531299999
YGG,2024-02-10-02:15:00,2024-02-10-02:29:59,15m,26,0.45579,0.4559,0.45454,0.45495,4544.0,1707531300000,1707532199999
YGG,2024-02-10-02:30:00,2024-02-10-02:44:59,15m,31,0.4551,0.45569,0.4549,0.45563,1389.0,1707532200000,1707533099999
YGG,2024-02-10-02:45:00,2024-02-10-02:59:59,15m,30,0.45611,0.45631,0.45494,0.45494,1838.0,1707533100000,1707533999999
YGG,2024-02-10-03:00:00,2024-02-10-03:14:59,15m,25,0.45717,0.45723,0.45576,0.45595,2056.0,1707534000000,1707534899999
YGG,2024-02-10-03:15:00,2024-02-10-03:29:59,15m,20,0.45674,0.45712,0.45605,0.45709,888.0,1707534900000,1707535799999
YGG,2024-02-10-03:30:00,2024-02-10-03:44:59,15m,19,0.45711,0.4574,0.4568,0.4568,895.0,1707535800000,1707536699999
YGG,2024-02-10-03:45:00,2024-02-10-03:59:59,15m,17,0.45592,0.45721,0.45586,0.45705,741.0,1707536700000,1707537599999
YGG,2024-02-10-04:00:00,2024-02-10-04:14:59,15m,28,0.45465,0.45619,0.45465,0.45588,2437.0,1707537600000,1707538499999
YGG,2024-02-10-04:15:00,2024-02-10-04:29:59,15m,19,0.45288,0.45458,0.45219,0.45458,3459.0,1707538500000,1707539399999
YGG,2024-02-10-04:30:00,2024-02-10-04:44:59,15m,22,0.45309,0.45391,0.45309,0.45342,1115.0,1707539400000,1707540299999
YGG,2024-02-10-04:45:00,2024-02-10-04:59:59,15m,15,0.45459,0.45469,0.4532,0.4533,840.0,1707540300000,1707541199999
YGG,2024-02-10-05:00:00,2024-02-10-05:14:59,15m,20,0.45315,0.45462,0.45294,0.45462,1933.0,1707541200000,1707542099999
YGG,2024-02-10-05:15:00,2024-02-10-05:29:59,15m,21,0.45325,0.45325,0.45232,0.45293,980.0,1707542100000,1707542999999
YGG,2024-02-10-05:30:00,2024-02-10-05:44:59,15m,19,0.4538,0.4538,0.45251,0.45276,853.0,1707543000000,1707543899999
YGG,2024-02-10-05:45:00,2024-02-10-05:59:59,15m,18,0.45406,0.45432,0.45347,0.45347,979.0,1707543900000,1707544799999
YGG,2024-02-10-06:00:00,2024-02-10-06:14:59,15m,21,0.45416,0.45455,0.45342,0.45368,1022.0,1707544800000,1707545699999
YGG,2024-02-10-06:15:00,2024-02-10-06:29:59,15m,24,0.45383,0.45479,0.45367,0.45468,1091.0,1707545700000,1707546599999
YGG,2024-02-10-06:30:00,2024-02-10-06:44:59,15m,19,0.45473,0.45493,0.45357,0.45363,912.0,1707546600000,1707547499999
YGG,2024-02-10-06:45:00,2024-02-10-06:59:59,15m,18,0.45555,0.45555,0.45457,0.45457,1006.0,1707547500000,1707548399999
YGG,2024-02-10-07:00:00,2024-02-10-07:14:59,15m,29,0.4547,0.45575,0.45445,0.45538,1405.0,1707548400000,1707549299999
YGG,2024-02-10-07:15:00,2024-02-10-07:29:59,15m,22,0.45525,0.45544,0.45481,0.45487,6137.0,1707549300000,1707550199999
YGG,2024-02-10-07:30:00,2024-02-10-07:44:59,15m,18,0.45609,0.45616,0.45499,0.45539,914.0,1707550200000,1707551099999
YGG,2024-02-10-07:45:00,2024-02-10-07:59:59,15m,19,0.4559,0.45625,0.45541,0.45616,1117.0,1707551100000,1707551999999
YGG,2024-02-10-08:00:00,2024-02-10-08:14:59,15m,16,0.45706,0.45726,0.45541,0.45569,4108.0,1707552000000,1707552899999
YGG,2024-02-10-08:15:00,2024-02-10-08:29:59,15m,17,0.45676,0.45749,0.45641,0.45704,1396.0,1707552900000,1707553799999
YGG,2024-02-10-08:30:00,2024-02-10-08:44:59,15m,25,0.45679,0.45779,0.45664,0.45686,4623.0,1707553800000,1707554699999
YGG,2024-02-10-08:45:00,2024-02-10-08:59:59,15m,22,0.45131,0.4567,0.45131,0.45651,8191.0,1707554700000,1707555599999
YGG,2024-02-10-09:00:00,2024-02-10-09:14:59,15m,18,0.451,0.45284,0.451,0.45173,5188.0,1707555600000,1707556499999
