symbol,start_time,end_time,interval,number_of_trades,close,high,low,open,volume,tic,toc
ZEN,2024-03-09-00:00:00,2024-03-09-00:14:59,15m,62,13.444,13.468,13.182,13.219,2480.53,1709942400000,1709943299999
ZEN,2024-03-09-00:15:00,2024-03-09-00:29:59,15m,39,13.367,13.452,13.334,13.412,1349.95,1709943300000,1709944199999
ZEN,2024-03-09-00:30:00,2024-03-09-00:44:59,15m,34,13.154,13.303,13.154,13.266,86.43,1709944200000,1709945099999
ZEN,2024-03-09-00:45:00,2024-03-09-00:59:59,15m,30,13.346,13.385,13.219,13.226,491.56,1709945100000,1709945999999
ZEN,2024-03-09-01:00:00,2024-03-09-01:14:59,15m,51,13.503,13.726,13.306,13.316,2331.34,1709946000000,1709946899999
ZEN,2024-03-09-01:15:00,2024-03-09-01:29:59,15m,42,13.493,13.686,13.435,13.496,1036.27,1709946900000,1709947799999
ZEN,2024-03-09-01:30:00,2024-03-09-01:44:59,15m,25,13.291,13.482,13.172,13.482,111.38,1709947800000,1709948699999
ZEN,2024-03-09-01:45:00,2024-03-09-01:59:59,15m,35,13.052,13.306,13.052,13.297,109.37,1709948700000,1709949599999
ZEN,2024-03-09-02:00:00,2024-03-09-02:14:59,15m,28,12.973,13.146,12.973,13.046,90.7,1709949600000,1709950499999
ZEN,2024-03-09-02:15:00,2024-03-09-02:29:59,15m,30,12.906,12.973,12.814,12.948,83.33,1709950500000,1709951399999
ZEN,2024-03-09-02:30:00,2024-03-09-02:44:59,15m,43,12.956,12.972,12.852,12.934,203.94,1709951400000,1709952299999
ZEN,2024-03-09-02:45:00,2024-03-09-02:59:59,15m,29,13.037,13.071,12.943,12.951,760.03,1709952300000,1709953199999
ZEN,2024-03-09-03:00:00,2024-03-09-03:14:59,15m,34,13.043,13.098,12.959,13.054,579.08,1709953200000,1709954099999
ZEN,2024-03-09-03:15:00,2024-03-09-03:29:59,15m,32,13.091,13.091,13.012,13.024,683.96,1709954100000,1709954999999
ZEN,2024-03-09-03:30:00,2024-03-09-03:44:59,15m,47,13.219,13.274,13.086,13.086,1155.85,1709955000000,1709955899999
ZEN,2024-03-09-03:45:00,2024-03-09-03:59:59,15m,49,13.268,13.356,13.213,13.213,2091.16,1709955900000,1709956799999
ZEN,2024-03-09-04:00:00,2024-03-09-04:14:59,15m,36,13.305,13.358,13.262,13.304,1441.42,1709956800000,1709957699999
ZEN,2024-03-09-04:15:00,2024-03-09-04:29:59,15m,32,13.326,13.387,13.309,13.309,1975.49,1709957700000,1709958599999
ZEN,2024-03-09-04:30:00,2024-03-09-04:44:59,15m,40,13.36,13.437,13.236,13.309,518.25,1709958600000,1709959499999
ZEN,2024-03-09-04:45:00,2024-03-09-04:59:59,15m,23,13.418,13.455,13.324,13.329,461.43,1709959500000,1709960399999
ZEN,2024-03-09-05:00:00,2024-03-09-05:14:59,15m,26,13.367,13.406,13.265,13.406,244.27,1709960400000,1709961299999
ZEN,2024-03-09-05:15:00,2024-03-09-05:29:59,15m,36,13.347,13.353,13.267,13.353,739.25,1709961300000,1709962199999
ZEN,2024-03-09-05:30:00,2024-03-09-05:44:59,15m,22,13.324,13.348,13.286,13.331,319.75,1709962200000,1709963099999
ZEN,2024-03-09-05:45:00,2024-03-09-05:59:59,15m,29,13.348,13.391,13.267,13.329,469.53,1709963100000,1709963999999
ZEN,2024-03-09-06:00:00,2024-03-09-06:14:59,15m,34,13.409,13.467,13.288,13.316,777.63,1709964000000,1709964899999
ZEN,2024-03-09-06:15:00,2024-03-09-06:29:59,15m,23,13.339,13.401,13.304,13.401,303.7,1709964900000,1709965799999
ZEN,2024-03-09-06:30:00,2024-03-09-06:44:59,15m,51,13.324,13.324,13.215,13.316,2301.48,1709965800000,1709966699999
ZEN,2024-03-09-06:45:00,2024-03-09-06:59:59,15m,30,13.309,13.365,13.309,13.32,466.65,1709966700000,1709967599999
ZEN,2024-03-09-07:00:00,2024-03-09-07:14:59,15m,16,13.285,13.306,13.262,13.306,27.16,1709967600000,1709968499999
ZEN,2024-03-09-07:15:00,2024-03-09-07:29:59,15m,24,13.329,13.335,13.23,13.286,233.32,1709968500000,1709969399999
ZEN,2024-03-09-07:30:00,2024-03-09-07:44:59,15m,31,13.405,13.407,13.299,13.359,1055.21,1709969400000,1709970299999
ZEN,2024-03-09-07:45:00,2024-03-09-07:59:59,15m,30,13.492,13.492,13.367,13.428,1071.73,1709970300000,1709971199999
ZEN,2024-03-09-08:00:00,2024-03-09-08:14:59,15m,76,13.411,13.72,13.353,13.428,3577.82,1709971200000,1709972099999
ZEN,2024-03-09-08:15:00,2024-03-09-08:29:59,15m,38,13.451,13.531,13.361,13.404,699.64,1709972100000,1709972999999
ZEN,2024-03-09-08:30:00,2024-03-09-08:44:59,15m,42,13.298,13.431,13.235,13.431,320.16,1709973000000,1709973899999
ZEN,2024-03-09-08:45:00,2024-03-09-08:59:59,15m,32,13.245,13.284,13.224,13.274,80.31,1709973900000,1709974799999
