symbol,start_time,end_time,interval,number_of_trades,close,high,low,open,volume,tic,toc
ZETA,2024-02-08-00:00:00,2024-02-08-00:14:59,15m,22,1.2732,1.2823,1.273,1.2816,7895.2,1707350400000,1707351299999
ZETA,2024-02-08-00:15:00,2024-02-08-00:29:59,15m,14,1.2708,1.2769,1.2656,1.2738,217.5,1707351300000,1707352199999
ZETA,2024-02-08-00:30:00,2024-02-08-00:44:59,15m,16,1.2832,1.2878,1.2669,1.2669,1318.0,1707352200000,1707353099999
ZETA,2024-02-08-00:45:00,2024-02-08-00:59:59,15m,17,1.2725,1.281,1.2711,1.2788,273.8,1707353100000,1707353999999
ZETA,2024-02-08-01:00:00,2024-02-08-01:14:59,15m,14,1.2707,1.2748,1.2665,1.2707,274.8,1707354000000,1707354899999
ZETA,2024-02-08-01:15:00,2024-02-08-01:29:59,15m,13,1.274,1.2773,1.2699,1.2769,211.1,1707354900000,1707355799999
ZETA,2024-02-08-01:30:00,2024-02-08-01:44:59,15m,18,1.2652,1.2719,1.2554,1.2719,482.9,1707355800000,1707356699999
ZETA,2024-02-08-01:45:00,2024-02-08-01:59:59,15m,17,1.2774,1.285,1.2665,1.2666,313.2,1707356700000,1707357599999
ZETA,2024-02-08-02:00:00,2024-02-08-02:14:59,15m,16,1.2675,1.2792,1.2672,1.2753,250.7,1707357600000,1707358499999
ZETA,2024-02-08-02:15:00,2024-02-08-02:29:59,15m,13,1.2681,1.2686,1.2652,1.2655,232.3,1707358500000,1707359399999
ZETA,2024-02-08-02:30:00,2024-02-08-02:44:59,15m,13,1.2683,1.2692,1.2615,1.2685,213.1,1707359400000,1707360299999
ZETA,2024-02-08-02:45:00,2024-02-08-02:59:59,15m,22,1.2606,1.2667,1.2554,1.2667,416.2,1707360300000,1707361199999
ZETA,2024-02-08-03:00:00,2024-02-08-03:14:59,15m,30,1.2672,1.2691,1.2578,1.2599,1661.0,1707361200000,1707362099999
ZETA,2024-02-08-03:15:00,2024-02-08-03:29:59,15m,25,1.266,1.2703,1.2647,1.2683,440.7,1707362100000,1707362999999
ZETA,2024-02-08-03:30:00,2024-02-08-03:44:59,15m,22,1.2616,1.2681,1.25,1.2681,541.8,1707363000000,1707363899999
ZETA,2024-02-08-03:45:00,2024-02-08-03:59:59,15m,18,1.2613,1.2646,1.2576,1.2626,3500.9,1707363900000,1707364799999
ZETA,2024-02-08-04:00:00,2024-02-08-04:14:59,15m,24,1.2719,1.2726,1.258,1.2588,375.2,1707364800000,1707365699999
ZETA,2024-02-08-04:15:00,2024-02-08-04:29:59,15m,27,1.2779,1.2783,1.2702,1.2736,495.1,1707365700000,1707366599999
ZETA,2024-02-08-04:30:00,2024-02-08-04:44:59,15m,25,1.2851,1.2851,1.2714,1.2777,431.7,1707366600000,1707367499999
