symbol,start_time,end_time,interval,number_of_trades,close,high,low,open,volume,tic,toc
kBONK,2024-02-08-08:30:00,2024-02-08-08:44:59,15m,20,0.0105,0.010507,0.010464,0.010472,42164.0,1707381000000,1707381899999
kBONK,2024-02-08-08:45:00,2024-02-08-08:59:59,15m,21,0.010584,0.010611,0.010504,0.010506,49416.0,1707381900000,1707382799999
kBONK,2024-02-08-09:00:00,2024-02-08-09:14:59,15m,18,0.010519,0.010581,0.010513,0.01058,35621.0,1707382800000,1707383699999
kBONK,2024-02-08-09:15:00,2024-02-08-09:29:59,15m,14,0.010587,0.010591,0.01054,0.010542,458434.0,1707383700000,1707384599999
kBONK,2024-02-08-09:30:00,2024-02-08-09:44:59,15m,20,0.010582,0.010605,0.010572,0.010594,45428.0,1707384600000,1707385499999
kBONK,2024-02-08-09:45:00,2024-02-08-09:59:59,15m,23,0.010554,0.010582,0.010543,0.010582,43655.0,1707385500000,1707386399999
kBONK,2024-02-08-10:00:00,2024-02-08-10:14:59,15m,23,0.010592,0.010592,0.010552,0.010559,51311.0,1707386400000,1707387299999
kBONK,2024-02-08-10:15:00,2024-02-08-10:29:59,15m,27,0.01056,0.01059,0.010545,0.01059,57549.0,1707387300000,1707388199999
kBONK,2024-02-08-10:30:00,2024-02-08-10:44:59,15m,19,0.010531,0.010555,0.010519,0.010555,40588.0,1707388200000,1707389099999
kBONK,2024-02-08-10:45:00,2024-02-08-10:59:59,15m,22,0.010538,0.01056,0.010525,0.010528,46709.0,1707389100000,1707389999999
kBONK,2024-02-08-11:00:00,2024-02-08-11:14:59,15m,24,0.010514,0.010536,0.010505,0.010536,46958.0,1707390000000,1707390899999
kBONK,2024-02-08-11:15:00,2024-02-08-11:29:59,15m,25,0.010539,0.01055,0.0105,0.010514,46515.0,1707390900000,1707391799999
kBONK,2024-02-08-11:30:00,2024-02-08-11:44:59,15m,19,0.010495,0.010514,0.010481,0.010514,37891.0,1707391800000,1707392699999
kBONK,2024-02-08-11:45:00,2024-02-08-11:59:59,15m,22,0.010457,0.010478,0.010449,0.010474,43163.0,1707392700000,1707393599999
kBONK,2024-02-08-12:00:00,2024-02-08-12:14:59,15m,17,0.010485,0.010513,0.010445,0.010445,41184.0,1707393600000,1707394499999
kBONK,2024-02-08-12:15:00,2024-02-08-12:29:59,15m,18,0.01047,0.0105,0.01047,0.010486,34716.0,1707394500000,1707395399999
kBONK,2024-02-08-12:30:00,2024-02-08-12:44:59,15m,17,0.010425,0.010457,0.010388,0.010457,33854.0,1707395400000,1707396299999
kBONK,2024-02-08-12:45:00,2024-02-08-12:59:59,15m,16,0.010392,0.01042,0.010363,0.01042,28124.0,1707396300000,1707397199999
kBONK,2024-02-08-13:00:00,2024-02-08-13:14:59,15m,25,0.010408,0.010417,0.01038,0.010383,356418.0,1707397200000,1707398099999
kBONK,2024-02-08-13:15:00,2024-02-08-13:29:59,15m,24,0.010366,0.010403,0.010363,0.010392,51441.0,1707398100000,1707398999999
kBONK,2024-02-08-13:30:00,2024-02-08-13:44:59,15m,20,0.010342,0.010349,0.010297,0.010297,42938.0,1707399000000,1707399899999
kBONK,2024-02-08-13:45:00,2024-02-08-13:59:59,15m,18,0.010438,0.010441,0.010355,0.010355,39357.0,1707399900000,1707400799999
kBONK,2024-02-08-14:00:00,2024-02-08-14:14:59,15m,24,0.010503,0.010506,0.010415,0.010421,50321.0,1707400800000,1707401699999
kBONK,2024-02-08-14:15:00,2024-02-08-14:29:59,15m,21,0.010456,0.010507,0.010456,0.010507,43908.0,1707401700000,1707402599999
kBONK,2024-02-08-14:30:00,2024-02-08-14:44:59,15m,21,0.010473,0.010483,0.010413,0.010429,43685.0,1707402600000,1707403499999
kBONK,2024-02-08-14:45:00,2024-02-08-14:59:59,15m,17,0.010512,0.01054,0.010474,0.010474,44845.0,1707403500000,1707404399999
kBONK,2024-02-08-15:00:00,2024-02-08-15:14:59,15m,24,0.010508,0.010554,0.010484,0.010526,44956.0,1707404400000,1707405299999
kBONK,2024-02-08-15:15:00,2024-02-08-15:29:59,15m,12,0.010554,0.010592,0.010503,0.010503,22621.0,1707405300000,1707406199999
kBONK,2024-02-08-15:30:00,2024-02-08-15:44:59,15m,16,0.010613,0.010613,0.010555,0.010562,28112.0,1707406200000,1707407099999
kBONK,2024-02-08-15:45:00,2024-02-08-15:59:59,15m,16,0.010585,0.010619,0.010573,0.010619,33918.0,1707407100000,1707407999999
kBONK,2024-02-08-16:00:00,2024-02-08-16:14:59,15m,21,0.010556,0.010595,0.010556,0.010595,1390555.0,1707408000000,1707408899999
kBONK,2024-02-08-16:15:00,2024-02-08-16:29:59,15m,13,0.010516,0.010543,0.010493,0.010543,870363.0,1707408900000,1707409799999
kBONK,2024-02-08-16:30:00,2024-02-08-16:44:59,15m,23,0.010516,0.010522,0.010459,0.01051,44062.0,1707409800000,1707410699999
kBONK,2024-02-08-16:45:00,2024-02-08-16:59:59,15m,16,0.010413,0.010507,0.010354,0.010507,304318.0,1707410700000,1707411599999
kBONK,2024-02-08-17:00:00,2024-02-08-17:14:59,15m,14,0.010385,0.010421,0.010364,0.010419,28531.0,1707411600000,1707412499999
kBONK,2024-02-08-17:15:00,2024-02-08-17:29:59,15m,18,0.01045,0.010467,0.010384,0.010385,512471.0,1707412500000,1707413399999
kBONK,2024-02-08-17:30:00,2024-02-08-17:44:59,15m,23,0.010463,0.010496,0.010444,0.010447,47872.0,1707413400000,1707414299999
kBONK,2024-02-08-17:45:00,2024-02-08-17:59:59,15m,18,0.01039,0.01043,0.010378,0.01043,30822.0,1707414300000,1707415199999
kBONK,2024-02-08-18:00:00,2024-02-08-18:14:59,15m,18,0.010424,0.010434,0.010397,0.010414,36695.0,1707415200000,1707416099999
kBONK,2024-02-08-18:15:00,2024-02-08-18:29:59,15m,21,0.010459,0.010463,0.010406,0.010414,47003.0,1707416100000,1707416999999
kBONK,2024-02-08-18:30:00,2024-02-08-18:44:59,15m,20,0.010424,0.010451,0.010419,0.010451,42068.0,1707417000000,1707417899999
kBONK,2024-02-08-18:45:00,2024-02-08-18:59:59,15m,18,0.010452,0.010467,0.010415,0.010419,32504.0,1707417900000,1707418799999
kBONK,2024-02-08-19:00:00,2024-02-08-19:14:59,15m,16,0.010418,0.010476,0.010418,0.010463,36515.0,1707418800000,1707419699999
kBONK,2024-02-08-19:15:00,2024-02-08-19:29:59,15m,25,0.010432,0.010465,0.01042,0.01042,46026.0,1707419700000,1707420599999
kBONK,2024-02-08-19:30:00,2024-02-08-19:44:59,15m,28,0.010437,0.01045,0.010413,0.010417,58813.0,1707420600000,1707421499999
kBONK,2024-02-08-19:45:00,2024-02-08-19:59:59,15m,20,0.010406,0.010471,0.010396,0.010431,46158.0,1707421500000,1707422399999
kBONK,2024-02-08-20:00:00,2024-02-08-20:14:59,15m,15,0.010444,0.010444,0.010405,0.010405,32334.0,1707422400000,1707423299999
kBONK,2024-02-08-20:15:00,2024-02-08-20:29:59,15m,22,0.010408,0.010465,0.010396,0.010443,43898.0,1707423300000,1707424199999
kBONK,2024-02-08-20:30:00,2024-02-08-20:44:59,15m,21,0.0104,0.010436,0.0104,0.010415,4818760.0,1707424200000,1707425099999
kBONK,2024-02-08-20:45:00,2024-02-08-20:59:59,15m,38,0.010434,0.010447,0.010395,0.010398,4844402.0,1707425100000,1707425999999
kBONK,2024-02-08-21:00:00,2024-02-08-21:14:59,15m,26,0.010408,0.010432,0.010402,0.01043,62326.0,1707426000000,1707426899999
kBONK,2024-02-08-21:15:00,2024-02-08-21:29:59,15m,27,0.010459,0.010463,0.010414,0.010414,55793.0,1707426900000,1707427799999
kBONK,2024-02-08-21:30:00,2024-02-08-21:44:59,15m,18,0.01044,0.010466,0.01044,0.010466,38740.0,1707427800000,1707428699999
kBONK,2024-02-08-21:45:00,2024-02-08-21:59:59,15m,26,0.010433,0.010443,0.010417,0.01043,55192.0,1707428700000,1707429599999
kBONK,2024-02-08-22:00:00,2024-02-08-22:14:59,15m,21,0.010433,0.010462,0.01042,0.010442,42595.0,1707429600000,1707430499999
kBONK,2024-02-08-22:15:00,2024-02-08-22:29:59,15m,19,0.010438,0.010461,0.010418,0.010418,35629.0,1707430500000,1707431399999
kBONK,2024-02-08-22:30:00,2024-02-08-22:44:59,15m,23,0.010402,0.010435,0.0104,0.010431,48330.0,1707431400000,1707432299999
kBONK,2024-02-08-22:45:00,2024-02-08-22:59:59,15m,17,0.010402,0.010414,0.010393,0.010408,37612.0,1707432300000,1707433199999
kBONK,2024-02-08-23:00:00,2024-02-08-23:14:59,15m,20,0.010411,0.010424,0.01038,0.010401,45712.0,1707433200000,1707434099999
kBONK,2024-02-08-23:15:00,2024-02-08-23:29:59,15m,17,0.010373,0.01042,0.010372,0.010414,42716.0,1707434100000,1707434999999
kBONK,2024-02-08-23:30:00,2024-02-08-23:44:59,15m,18,0.010406,0.010417,0.01037,0.01037,44864.0,1707435000000,1707435899999
kBONK,2024-02-08-23:45:00,2024-02-08-23:59:59,15m,21,0.010358,0.01041,0.01035,0.01041,41253.0,1707435900000,1707436799999
