symbol,start_time,end_time,interval,number_of_trades,close,high,low,open,volume,tic,toc
kFLOKI,2024-03-11-23:00:00,2024-03-11-23:14:59,15m,11,0.27852,0.27861,0.27635,0.27635,45979.0,1710198000000,1710198899999
kFLOKI,2024-03-11-23:15:00,2024-03-11-23:29:59,15m,22,0.28328,0.28531,0.27946,0.27946,194054.0,1710198900000,1710199799999
kFLOKI,2024-03-11-23:30:00,2024-03-11-23:44:59,15m,40,0.2925,0.2925,0.28369,0.28695,273310.0,1710199800000,1710200699999
kFLOKI,2024-03-11-23:45:00,2024-03-11-23:59:59,15m,48,0.29913,0.29916,0.29305,0.29421,263414.0,1710200700000,1710201599999
kFLOKI,2024-03-12-00:00:00,2024-03-12-00:14:59,15m,46,0.29247,0.30584,0.29232,0.29977,309511.0,1710201600000,1710202499999
kFLOKI,2024-03-12-00:15:00,2024-03-12-00:29:59,15m,18,0.28712,0.2954,0.28712,0.2954,107664.0,1710202500000,1710203399999
kFLOKI,2024-03-12-00:30:00,2024-03-12-00:44:59,15m,39,0.28626,0.28936,0.28487,0.28724,250553.0,1710203400000,1710204299999
kFLOKI,2024-03-12-00:45:00,2024-03-12-00:59:59,15m,22,0.28133,0.28588,0.28024,0.28576,123355.0,1710204300000,1710205199999
kFLOKI,2024-03-12-01:00:00,2024-03-12-01:14:59,15m,26,0.27848,0.28266,0.27577,0.28266,65645.0,1710205200000,1710206099999
kFLOKI,2024-03-12-01:15:00,2024-03-12-01:29:59,15m,28,0.27814,0.28015,0.27795,0.27842,205571.0,1710206100000,1710206999999
kFLOKI,2024-03-12-01:30:00,2024-03-12-01:44:59,15m,25,0.28127,0.28255,0.27939,0.28038,99374.0,1710207000000,1710207899999
kFLOKI,2024-03-12-01:45:00,2024-03-12-01:59:59,15m,31,0.27981,0.28229,0.27865,0.28147,89677.0,1710207900000,1710208799999
kFLOKI,2024-03-12-02:00:00,2024-03-12-02:14:59,15m,21,0.27655,0.27979,0.27634,0.27979,126542.0,1710208800000,1710209699999
kFLOKI,2024-03-12-02:15:00,2024-03-12-02:29:59,15m,18,0.27437,0.27739,0.2738,0.27666,55497.0,1710209700000,1710210599999
kFLOKI,2024-03-12-02:30:00,2024-03-12-02:44:59,15m,17,0.27401,0.27596,0.27386,0.27437,72771.0,1710210600000,1710211499999
kFLOKI,2024-03-12-02:45:00,2024-03-12-02:59:59,15m,21,0.27531,0.27675,0.27344,0.27344,63501.0,1710211500000,1710212399999
kFLOKI,2024-03-12-03:00:00,2024-03-12-03:14:59,15m,18,0.27788,0.27788,0.275,0.275,39790.0,1710212400000,1710213299999
kFLOKI,2024-03-12-03:15:00,2024-03-12-03:29:59,15m,32,0.27362,0.27788,0.27361,0.27788,187671.0,1710213300000,1710214199999
kFLOKI,2024-03-12-03:30:00,2024-03-12-03:44:59,15m,20,0.27505,0.27618,0.2739,0.2739,92902.0,1710214200000,1710215099999
kFLOKI,2024-03-12-03:45:00,2024-03-12-03:59:59,15m,25,0.27199,0.27667,0.27192,0.27667,73530.0,1710215100000,1710215999999
kFLOKI,2024-03-12-04:00:00,2024-03-12-04:14:59,15m,25,0.27384,0.27517,0.27058,0.27234,168610.0,1710216000000,1710216899999
kFLOKI,2024-03-12-04:15:00,2024-03-12-04:29:59,15m,22,0.27374,0.27519,0.27326,0.27326,143660.0,1710216900000,1710217799999
kFLOKI,2024-03-12-04:30:00,2024-03-12-04:44:59,15m,39,0.26957,0.27365,0.26786,0.27365,278063.0,1710217800000,1710218699999
kFLOKI,2024-03-12-04:45:00,2024-03-12-04:59:59,15m,31,0.26846,0.27149,0.26845,0.27002,34684.0,1710218700000,1710219599999
kFLOKI,2024-03-12-05:00:00,2024-03-12-05:14:59,15m,35,0.27055,0.27169,0.26864,0.26864,125349.0,1710219600000,1710220499999
kFLOKI,2024-03-12-05:15:00,2024-03-12-05:29:59,15m,28,0.2721,0.27241,0.26965,0.27086,66684.0,1710220500000,1710221399999
kFLOKI,2024-03-12-05:30:00,2024-03-12-05:44:59,15m,19,0.27297,0.27337,0.27086,0.27203,52809.0,1710221400000,1710222299999
kFLOKI,2024-03-12-05:45:00,2024-03-12-05:59:59,15m,31,0.27086,0.27265,0.2707,0.27248,45023.0,1710222300000,1710223199999
kFLOKI,2024-03-12-06:00:00,2024-03-12-06:14:59,15m,37,0.2666,0.27089,0.2663,0.27079,119644.0,1710223200000,1710224099999
kFLOKI,2024-03-12-06:15:00,2024-03-12-06:29:59,15m,37,0.26239,0.26725,0.26192,0.26566,126042.0,1710224100000,1710224999999
kFLOKI,2024-03-12-06:30:00,2024-03-12-06:44:59,15m,44,0.25939,0.26298,0.25939,0.26122,129597.0,1710225000000,1710225899999
kFLOKI,2024-03-12-06:45:00,2024-03-12-06:59:59,15m,41,0.26552,0.26596,0.2589,0.25932,107355.0,1710225900000,1710226799999
kFLOKI,2024-03-12-07:00:00,2024-03-12-07:14:59,15m,28,0.26326,0.26437,0.26075,0.26437,136120.0,1710226800000,1710227699999
kFLOKI,2024-03-12-07:15:00,2024-03-12-07:29:59,15m,33,0.26146,0.26473,0.26146,0.26319,47126.0,1710227700000,1710228599999
kFLOKI,2024-03-12-07:30:00,2024-03-12-07:44:59,15m,40,0.26007,0.26176,0.25908,0.26176,167973.0,1710228600000,1710229499999
