symbol,start_time,end_time,interval,number_of_trades,close,high,low,open,volume,tic,toc
kLUNC,2024-02-08-00:00:00,2024-02-08-00:14:59,15m,31,0.10793,0.10887,0.10793,0.1087,6561.0,1707350400000,1707351299999
kLUNC,2024-02-08-00:15:00,2024-02-08-00:29:59,15m,18,0.10841,0.10859,0.1082,0.1082,3307.0,1707351300000,1707352199999
kLUNC,2024-02-08-00:30:00,2024-02-08-00:44:59,15m,22,0.10903,0.10916,0.1082,0.1083,3933.0,1707352200000,1707353099999
kLUNC,2024-02-08-00:45:00,2024-02-08-00:59:59,15m,17,0.10908,0.10938,0.10889,0.10889,3710.0,1707353100000,1707353999999
kLUNC,2024-02-08-01:00:00,2024-02-08-01:14:59,15m,18,0.10805,0.10911,0.10802,0.10911,15797.0,1707354000000,1707354899999
kLUNC,2024-02-08-01:15:00,2024-02-08-01:29:59,15m,23,0.10788,0.10838,0.10788,0.10824,5093.0,1707354900000,1707355799999
kLUNC,2024-02-08-01:30:00,2024-02-08-01:44:59,15m,18,0.10794,0.10804,0.10765,0.10765,3760.0,1707355800000,1707356699999
kLUNC,2024-02-08-01:45:00,2024-02-08-01:59:59,15m,20,0.10814,0.10835,0.10801,0.10814,3887.0,1707356700000,1707357599999
kLUNC,2024-02-08-02:00:00,2024-02-08-02:14:59,15m,26,0.10784,0.10821,0.10756,0.10821,5701.0,1707357600000,1707358499999
kLUNC,2024-02-08-02:15:00,2024-02-08-02:29:59,15m,15,0.10805,0.10809,0.10778,0.10778,98936.0,1707358500000,1707359399999
kLUNC,2024-02-08-02:30:00,2024-02-08-02:44:59,15m,19,0.1081,0.10813,0.1077,0.10804,4140.0,1707359400000,1707360299999
kLUNC,2024-02-08-02:45:00,2024-02-08-02:59:59,15m,23,0.10828,0.10828,0.1079,0.10815,4847.0,1707360300000,1707361199999
kLUNC,2024-02-08-03:00:00,2024-02-08-03:14:59,15m,15,0.10891,0.10891,0.10821,0.1083,94726.0,1707361200000,1707362099999
kLUNC,2024-02-08-03:15:00,2024-02-08-03:29:59,15m,21,0.10896,0.10916,0.10862,0.10868,4386.0,1707362100000,1707362999999
kLUNC,2024-02-08-03:30:00,2024-02-08-03:44:59,15m,28,0.10884,0.10928,0.10882,0.10882,5627.0,1707363000000,1707363899999
kLUNC,2024-02-08-03:45:00,2024-02-08-03:59:59,15m,22,0.10852,0.10898,0.10852,0.10895,4092.0,1707363900000,1707364799999
kLUNC,2024-02-08-04:00:00,2024-02-08-04:14:59,15m,17,0.1093,0.10933,0.10866,0.10866,46143.0,1707364800000,1707365699999
kLUNC,2024-02-08-04:15:00,2024-02-08-04:29:59,15m,17,0.10926,0.10944,0.10921,0.1093,3338.0,1707365700000,1707366599999
kLUNC,2024-02-08-04:30:00,2024-02-08-04:44:59,15m,21,0.10898,0.10912,0.10868,0.10912,3739.0,1707366600000,1707367499999
