symbol,start_time,end_time,interval,number_of_trades,close,high,low,open,volume,tic,toc
kPEPE,2024-02-10-00:00:00,2024-02-10-00:14:59,15m,48,0.001025,0.001025,0.001017,0.001017,73661299.0,1707523200000,1707524099999
kPEPE,2024-02-10-00:15:00,2024-02-10-00:29:59,15m,28,0.001026,0.001028,0.001024,0.001024,1133526.0,1707524100000,1707524999999
kPEPE,2024-02-10-00:30:00,2024-02-10-00:44:59,15m,34,0.001028,0.001028,0.001024,0.001026,37515705.0,1707525000000,1707525899999
kPEPE,2024-02-10-00:45:00,2024-02-10-00:59:59,15m,21,0.001023,0.001026,0.001023,0.001026,450869.0,1707525900000,1707526799999
kPEPE,2024-02-10-01:00:00,2024-02-10-01:14:59,15m,41,0.001019,0.001024,0.001018,0.001023,90165567.0,1707526800000,1707527699999
kPEPE,2024-02-10-01:15:00,2024-02-10-01:29:59,15m,26,0.001029,0.001029,0.001019,0.001019,45139842.0,1707527700000,1707528599999
kPEPE,2024-02-10-01:30:00,2024-02-10-01:44:59,15m,33,0.001037,0.001037,0.001028,0.001028,30937944.0,1707528600000,1707529499999
kPEPE,2024-02-10-01:45:00,2024-02-10-01:59:59,15m,17,0.001037,0.001038,0.001034,0.001034,429712.0,1707529500000,1707530399999
kPEPE,2024-02-10-02:00:00,2024-02-10-02:14:59,15m,38,0.001036,0.001038,0.001036,0.001037,66334682.0,1707530400000,1707531299999
kPEPE,2024-02-10-02:15:00,2024-02-10-02:29:59,15m,23,0.001034,0.001036,0.001034,0.001036,4203567.0,1707531300000,1707532199999
kPEPE,2024-02-10-02:30:00,2024-02-10-02:44:59,15m,61,0.001034,0.001034,0.00103,0.001034,204561048.0,1707532200000,1707533099999
kPEPE,2024-02-10-02:45:00,2024-02-10-02:59:59,15m,29,0.001035,0.001035,0.001033,0.001033,15113561.0,1707533100000,1707533999999
kPEPE,2024-02-10-03:00:00,2024-02-10-03:14:59,15m,27,0.001035,0.001036,0.001033,0.001035,5664155.0,1707534000000,1707534899999
kPEPE,2024-02-10-03:15:00,2024-02-10-03:29:59,15m,24,0.001036,0.001036,0.001033,0.001035,5592800.0,1707534900000,1707535799999
kPEPE,2024-02-10-03:30:00,2024-02-10-03:44:59,15m,36,0.00104,0.001042,0.001036,0.001036,26306375.0,1707535800000,1707536699999
kPEPE,2024-02-10-03:45:00,2024-02-10-03:59:59,15m,46,0.001036,0.001039,0.001035,0.001039,94281636.0,1707536700000,1707537599999
kPEPE,2024-02-10-04:00:00,2024-02-10-04:14:59,15m,28,0.001036,0.001037,0.001035,0.001037,2428957.0,1707537600000,1707538499999
kPEPE,2024-02-10-04:15:00,2024-02-10-04:29:59,15m,19,0.001033,0.001036,0.001031,0.001036,365842.0,1707538500000,1707539399999
kPEPE,2024-02-10-04:30:00,2024-02-10-04:44:59,15m,20,0.001032,0.001035,0.001032,0.001032,342292.0,1707539400000,1707540299999
kPEPE,2024-02-10-04:45:00,2024-02-10-04:59:59,15m,28,0.001032,0.001034,0.001031,0.001032,1052303.0,1707540300000,1707541199999
kPEPE,2024-02-10-05:00:00,2024-02-10-05:14:59,15m,27,0.001028,0.001032,0.001026,0.001032,6444183.0,1707541200000,1707542099999
kPEPE,2024-02-10-05:15:00,2024-02-10-05:29:59,15m,25,0.001026,0.001027,0.001024,0.001027,498990.0,1707542100000,1707542999999
kPEPE,2024-02-10-05:30:00,2024-02-10-05:44:59,15m,32,0.001026,0.001028,0.001025,0.001025,18491667.0,1707543000000,1707543899999
kPEPE,2024-02-10-05:45:00,2024-02-10-05:59:59,15m,17,0.001025,0.001026,0.001024,0.001026,834293.0,1707543900000,1707544799999
kPEPE,2024-02-10-06:00:00,2024-02-10-06:14:59,15m,24,0.001026,0.001028,0.001024,0.001025,446551.0,1707544800000,1707545699999
kPEPE,2024-02-10-06:15:00,2024-02-10-06:29:59,15m,23,0.001028,0.001028,0.001025,0.001027,425005.0,1707545700000,1707546599999
kPEPE,2024-02-10-06:30:00,2024-02-10-06:44:59,15m,23,0.001027,0.00103,0.001026,0.001027,3194621.0,1707546600000,1707547499999
kPEPE,2024-02-10-06:45:00,2024-02-10-06:59:59,15m,19,0.001028,0.00103,0.001027,0.001027,2669073.0,1707547500000,1707548399999
kPEPE,2024-02-10-07:00:00,2024-02-10-07:14:59,15m,21,0.001027,0.001028,0.001025,0.001027,378195.0,1707548400000,1707549299999
kPEPE,2024-02-10-07:15:00,2024-02-10-07:29:59,15m,31,0.001025,0.001027,0.001023,0.001026,18021711.0,1707549300000,1707550199999
kPEPE,2024-02-10-07:30:00,2024-02-10-07:44:59,15m,17,0.001027,0.001027,0.001024,0.001024,14541324.0,1707550200000,1707551099999
kPEPE,2024-02-10-07:45:00,2024-02-10-07:59:59,15m,32,0.001021,0.001027,0.001021,0.001026,13334145.0,1707551100000,1707551999999
kPEPE,2024-02-10-08:00:00,2024-02-10-08:14:59,15m,37,0.001029,0.001029,0.001022,0.001022,80362786.0,1707552000000,1707552899999
kPEPE,2024-02-10-08:15:00,2024-02-10-08:29:59,15m,25,0.001026,0.001029,0.001026,0.001028,474859.0,1707552900000,1707553799999
kPEPE,2024-02-10-08:30:00,2024-02-10-08:44:59,15m,33,0.001035,0.001039,0.001026,0.001026,73930927.0,1707553800000,1707554699999
kPEPE,2024-02-10-08:45:00,2024-02-10-08:59:59,15m,36,0.001025,0.001036,0.001025,0.001033,21289349.0,1707554700000,1707555599999
kPEPE,2024-02-10-09:00:00,2024-02-10-09:14:59,15m,39,0.001032,0.001035,0.001026,0.001026,58139901.0,1707555600000,1707556499999
kPEPE,2024-02-10-09:15:00,2024-02-10-09:29:59,15m,20,0.001033,0.001035,0.001031,0.001035,2430770.0,1707556500000,1707557399999
kPEPE,2024-02-10-09:30:00,2024-02-10-09:44:59,15m,26,0.001028,0.001035,0.001028,0.001033,1106625.0,1707557400000,1707558299999
kPEPE,2024-02-10-09:45:00,2024-02-10-09:59:59,15m,28,0.001025,0.001029,0.001024,0.001028,20890498.0,1707558300000,1707559199999
kPEPE,2024-02-10-10:00:00,2024-02-10-10:14:59,15m,24,0.001026,0.001027,0.001023,0.001024,4759758.0,1707559200000,1707560099999
kPEPE,2024-02-10-10:15:00,2024-02-10-10:29:59,15m,24,0.001026,0.001027,0.001025,0.001026,2320969.0,1707560100000,1707560999999
kPEPE,2024-02-10-10:30:00,2024-02-10-10:44:59,15m,44,0.001017,0.001028,0.001017,0.001028,15655337.0,1707561000000,1707561899999
kPEPE,2024-02-10-10:45:00,2024-02-10-10:59:59,15m,35,0.001013,0.001017,0.001006,0.001017,49931085.0,1707561900000,1707562799999
kPEPE,2024-02-10-11:00:00,2024-02-10-11:14:59,15m,29,0.001016,0.001017,0.001013,0.001013,39190761.0,1707562800000,1707563699999
kPEPE,2024-02-10-11:15:00,2024-02-10-11:29:59,15m,29,0.001018,0.001019,0.001016,0.001016,4301035.0,1707563700000,1707564599999
kPEPE,2024-02-10-11:30:00,2024-02-10-11:44:59,15m,18,0.001015,0.001019,0.001014,0.001018,928430.0,1707564600000,1707565499999
kPEPE,2024-02-10-11:45:00,2024-02-10-11:59:59,15m,29,0.001017,0.001017,0.001015,0.001015,19014219.0,1707565500000,1707566399999
kPEPE,2024-02-10-12:00:00,2024-02-10-12:14:59,15m,27,0.001021,0.001021,0.001015,0.001016,6002421.0,1707566400000,1707567299999
