symbol,start_time,end_time,interval,number_of_trades,close,high,low,open,volume,tic,toc
kSHIB,2024-03-09-00:00:00,2024-03-09-00:14:59,15m,154,0.035838,0.035986,0.034764,0.035227,5516373.0,1709942400000,1709943299999
kSHIB,2024-03-09-00:15:00,2024-03-09-00:29:59,15m,47,0.035788,0.03609,0.035637,0.035929,1954604.0,1709943300000,1709944199999
kSHIB,2024-03-09-00:30:00,2024-03-09-00:44:59,15m,108,0.03657,0.036774,0.03568,0.03568,4563715.0,1709944200000,1709945099999
kSHIB,2024-03-09-00:45:00,2024-03-09-00:59:59,15m,113,0.036185,0.036989,0.036185,0.036415,4807812.0,1709945100000,1709945999999
kSHIB,2024-03-09-01:00:00,2024-03-09-01:14:59,15m,104,0.036069,0.036492,0.036056,0.036315,2869828.0,1709946000000,1709946899999
kSHIB,2024-03-09-01:15:00,2024-03-09-01:29:59,15m,87,0.036512,0.036512,0.035772,0.036065,1702310.0,1709946900000,1709947799999
kSHIB,2024-03-09-01:30:00,2024-03-09-01:44:59,15m,94,0.036204,0.036543,0.03617,0.036449,8783741.0,1709947800000,1709948699999
kSHIB,2024-03-09-01:45:00,2024-03-09-01:59:59,15m,19,0.035986,0.036199,0.035962,0.036199,619844.0,1709948700000,1709949599999
kSHIB,2024-03-09-02:00:00,2024-03-09-02:14:59,15m,47,0.035528,0.036073,0.035528,0.035872,1345779.0,1709949600000,1709950499999
kSHIB,2024-03-09-02:15:00,2024-03-09-02:29:59,15m,84,0.035588,0.035588,0.035209,0.035579,2251668.0,1709950500000,1709951399999
kSHIB,2024-03-09-02:30:00,2024-03-09-02:44:59,15m,66,0.035592,0.035603,0.035208,0.035599,1185260.0,1709951400000,1709952299999
kSHIB,2024-03-09-02:45:00,2024-03-09-02:59:59,15m,36,0.035655,0.035907,0.03548,0.035539,525853.0,1709952300000,1709953199999
kSHIB,2024-03-09-03:00:00,2024-03-09-03:14:59,15m,33,0.035755,0.035876,0.035652,0.035773,1133810.0,1709953200000,1709954099999
kSHIB,2024-03-09-03:15:00,2024-03-09-03:29:59,15m,62,0.036139,0.036318,0.035744,0.035837,2119302.0,1709954100000,1709954999999
kSHIB,2024-03-09-03:30:00,2024-03-09-03:44:59,15m,49,0.036076,0.036286,0.036056,0.036142,1690850.0,1709955000000,1709955899999
kSHIB,2024-03-09-03:45:00,2024-03-09-03:59:59,15m,59,0.036161,0.036441,0.03614,0.03617,3281450.0,1709955900000,1709956799999
kSHIB,2024-03-09-04:00:00,2024-03-09-04:14:59,15m,47,0.036384,0.036417,0.035971,0.03618,2517347.0,1709956800000,1709957699999
kSHIB,2024-03-09-04:15:00,2024-03-09-04:29:59,15m,53,0.036135,0.036377,0.036057,0.036377,2482120.0,1709957700000,1709958599999
kSHIB,2024-03-09-04:30:00,2024-03-09-04:44:59,15m,34,0.035913,0.03619,0.035905,0.03619,1011497.0,1709958600000,1709959499999
kSHIB,2024-03-09-04:45:00,2024-03-09-04:59:59,15m,35,0.035987,0.036193,0.035858,0.035904,601263.0,1709959500000,1709960399999
kSHIB,2024-03-09-05:00:00,2024-03-09-05:14:59,15m,47,0.035783,0.036004,0.035563,0.036004,1495908.0,1709960400000,1709961299999
kSHIB,2024-03-09-05:15:00,2024-03-09-05:29:59,15m,36,0.035605,0.035793,0.035499,0.035793,839320.0,1709961300000,1709962199999
kSHIB,2024-03-09-05:30:00,2024-03-09-05:44:59,15m,49,0.035546,0.035678,0.035429,0.035571,913381.0,1709962200000,1709963099999
kSHIB,2024-03-09-05:45:00,2024-03-09-05:59:59,15m,40,0.035548,0.035728,0.035449,0.035449,179831.0,1709963100000,1709963999999
kSHIB,2024-03-09-06:00:00,2024-03-09-06:14:59,15m,34,0.035457,0.035687,0.035366,0.035544,686873.0,1709964000000,1709964899999
kSHIB,2024-03-09-06:15:00,2024-03-09-06:29:59,15m,41,0.035372,0.03558,0.035214,0.035461,1371968.0,1709964900000,1709965799999
kSHIB,2024-03-09-06:30:00,2024-03-09-06:44:59,15m,34,0.035648,0.035694,0.035316,0.035374,938659.0,1709965800000,1709966699999
kSHIB,2024-03-09-06:45:00,2024-03-09-06:59:59,15m,26,0.035582,0.035744,0.035538,0.035596,661675.0,1709966700000,1709967599999
kSHIB,2024-03-09-07:00:00,2024-03-09-07:14:59,15m,21,0.03567,0.03567,0.035564,0.035564,517050.0,1709967600000,1709968499999
kSHIB,2024-03-09-07:15:00,2024-03-09-07:29:59,15m,39,0.035535,0.035649,0.035333,0.035629,908186.0,1709968500000,1709969399999
kSHIB,2024-03-09-07:30:00,2024-03-09-07:44:59,15m,68,0.035612,0.035634,0.035318,0.035487,1805221.0,1709969400000,1709970299999
kSHIB,2024-03-09-07:45:00,2024-03-09-07:59:59,15m,45,0.035273,0.035665,0.035273,0.035665,938346.0,1709970300000,1709971199999
kSHIB,2024-03-09-08:00:00,2024-03-09-08:14:59,15m,159,0.035702,0.035714,0.03527,0.035272,9632977.0,1709971200000,1709972099999
kSHIB,2024-03-09-08:15:00,2024-03-09-08:29:59,15m,31,0.035687,0.035845,0.035661,0.035704,780216.0,1709972100000,1709972999999
kSHIB,2024-03-09-08:30:00,2024-03-09-08:44:59,15m,105,0.035557,0.035603,0.035254,0.035603,2255198.0,1709973000000,1709973899999
kSHIB,2024-03-09-08:45:00,2024-03-09-08:59:59,15m,89,0.035094,0.035503,0.034939,0.035503,2135565.0,1709973900000,1709974799999
kSHIB,2024-03-09-09:00:00,2024-03-09-09:14:59,15m,42,0.035028,0.035263,0.035013,0.035084,1339704.0,1709974800000,1709975699999
kSHIB,2024-03-09-09:15:00,2024-03-09-09:29:59,15m,60,0.034918,0.035029,0.034792,0.035023,5013515.0,1709975700000,1709976599999
kSHIB,2024-03-09-09:30:00,2024-03-09-09:44:59,15m,38,0.034991,0.035031,0.034825,0.034931,2622585.0,1709976600000,1709977499999
kSHIB,2024-03-09-09:45:00,2024-03-09-09:59:59,15m,89,0.034702,0.034959,0.034402,0.034959,4576922.0,1709977500000,1709978399999
kSHIB,2024-03-09-10:00:00,2024-03-09-10:14:59,15m,74,0.034297,0.034733,0.034223,0.034733,8046999.0,1709978400000,1709979299999
kSHIB,2024-03-09-10:15:00,2024-03-09-10:29:59,15m,54,0.034261,0.034523,0.033873,0.03441,1845482.0,1709979300000,1709980199999
kSHIB,2024-03-09-10:30:00,2024-03-09-10:44:59,15m,54,0.034415,0.034552,0.034289,0.034292,2305190.0,1709980200000,1709981099999
kSHIB,2024-03-09-10:45:00,2024-03-09-10:59:59,15m,32,0.034467,0.034545,0.034337,0.034489,1130198.0,1709981100000,1709981999999
kSHIB,2024-03-09-11:00:00,2024-03-09-11:14:59,15m,52,0.034284,0.03457,0.034262,0.034463,1081449.0,1709982000000,1709982899999
kSHIB,2024-03-09-11:15:00,2024-03-09-11:29:59,15m,41,0.034594,0.03461,0.034345,0.034353,919317.0,1709982900000,1709983799999
kSHIB,2024-03-09-11:30:00,2024-03-09-11:44:59,15m,34,0.034525,0.034766,0.03447,0.034593,978568.0,1709983800000,1709984699999
kSHIB,2024-03-09-11:45:00,2024-03-09-11:59:59,15m,42,0.0345,0.034523,0.034385,0.034523,1154208.0,1709984700000,1709985599999
kSHIB,2024-03-09-12:00:00,2024-03-09-12:14:59,15m,41,0.034219,0.034517,0.034105,0.034517,1720204.0,1709985600000,1709986499999
kSHIB,2024-03-09-12:15:00,2024-03-09-12:29:59,15m,42,0.03399,0.034288,0.03399,0.034248,1668333.0,1709986500000,1709987399999
kSHIB,2024-03-09-12:30:00,2024-03-09-12:44:59,15m,39,0.034373,0.034373,0.034016,0.034016,1500555.0,1709987400000,1709988299999
kSHIB,2024-03-09-12:45:00,2024-03-09-12:59:59,15m,53,0.034581,0.034652,0.034385,0.034385,2026567.0,1709988300000,1709989199999
kSHIB,2024-03-09-13:00:00,2024-03-09-13:14:59,15m,53,0.034558,0.034637,0.034453,0.034594,917556.0,1709989200000,1709990099999
kSHIB,2024-03-09-13:15:00,2024-03-09-13:29:59,15m,43,0.034603,0.034603,0.034462,0.03452,1517501.0,1709990100000,1709990999999
kSHIB,2024-03-09-13:30:00,2024-03-09-13:44:59,15m,51,0.034714,0.03478,0.034599,0.034599,2462134.0,1709991000000,1709991899999
kSHIB,2024-03-09-13:45:00,2024-03-09-13:59:59,15m,51,0.034572,0.034772,0.034552,0.03473,1336455.0,1709991900000,1709992799999
kSHIB,2024-03-09-14:00:00,2024-03-09-14:14:59,15m,49,0.034929,0.034933,0.034483,0.034551,2684380.0,1709992800000,1709993699999
kSHIB,2024-03-09-14:15:00,2024-03-09-14:29:59,15m,56,0.034834,0.035027,0.034834,0.03495,3054362.0,1709993700000,1709994599999
kSHIB,2024-03-09-14:30:00,2024-03-09-14:44:59,15m,92,0.034956,0.035063,0.034755,0.034854,9934123.0,1709994600000,1709995499999
kSHIB,2024-03-09-14:45:00,2024-03-09-14:59:59,15m,51,0.034657,0.034955,0.034606,0.03494,2230627.0,1709995500000,1709996399999
kSHIB,2024-03-09-15:00:00,2024-03-09-15:14:59,15m,58,0.034505,0.034819,0.034485,0.034695,1575466.0,1709996400000,1709997299999
kSHIB,2024-03-09-15:15:00,2024-03-09-15:29:59,15m,45,0.034663,0.034761,0.034545,0.034557,1213903.0,1709997300000,1709998199999
kSHIB,2024-03-09-15:30:00,2024-03-09-15:44:59,15m,36,0.034912,0.034918,0.034645,0.034645,1113592.0,1709998200000,1709999099999
kSHIB,2024-03-09-15:45:00,2024-03-09-15:59:59,15m,24,0.034653,0.034932,0.034619,0.034932,960217.0,1709999100000,1709999999999
kSHIB,2024-03-09-16:00:00,2024-03-09-16:14:59,15m,77,0.034408,0.034763,0.034328,0.034684,5285904.0,1710000000000,1710000899999
kSHIB,2024-03-09-16:15:00,2024-03-09-16:29:59,15m,87,0.035438,0.03599,0.034481,0.034484,4993547.0,1710000900000,1710001799999
kSHIB,2024-03-09-16:30:00,2024-03-09-16:44:59,15m,101,0.035644,0.035833,0.035096,0.035353,5743816.0,1710001800000,1710002699999
kSHIB,2024-03-09-16:45:00,2024-03-09-16:59:59,15m,75,0.035492,0.035827,0.035363,0.035414,2371098.0,1710002700000,1710003599999
kSHIB,2024-03-09-17:00:00,2024-03-09-17:14:59,15m,177,0.035035,0.03576,0.034919,0.035391,4970659.0,1710003600000,1710004499999
kSHIB,2024-03-09-17:15:00,2024-03-09-17:29:59,15m,82,0.03502,0.035186,0.0348,0.035045,1705091.0,1710004500000,1710005399999
kSHIB,2024-03-09-17:30:00,2024-03-09-17:44:59,15m,120,0.035836,0.035845,0.035125,0.035125,5882849.0,1710005400000,1710006299999
kSHIB,2024-03-09-17:45:00,2024-03-09-17:59:59,15m,130,0.035658,0.036059,0.035473,0.035774,5802059.0,1710006300000,1710007199999
kSHIB,2024-03-09-18:00:00,2024-03-09-18:14:59,15m,63,0.035558,0.035848,0.035512,0.035609,2727864.0,1710007200000,1710008099999
kSHIB,2024-03-09-18:15:00,2024-03-09-18:29:59,15m,91,0.035419,0.035759,0.035402,0.035552,5060014.0,1710008100000,1710008999999
kSHIB,2024-03-09-18:30:00,2024-03-09-18:44:59,15m,82,0.035555,0.035604,0.035371,0.035529,3296708.0,1710009000000,1710009899999
kSHIB,2024-03-09-18:45:00,2024-03-09-18:59:59,15m,41,0.035267,0.03555,0.035217,0.035549,2061390.0,1710009900000,1710010799999
kSHIB,2024-03-09-19:00:00,2024-03-09-19:14:59,15m,40,0.035273,0.035467,0.035263,0.03529,683621.0,1710010800000,1710011699999
